2018-01-29,'600198,大唐电信,10.56,10.94,10.5,10.67,10.89,-0.33,-3.0303,2.0994,18268842,195047335.0,9315065464.32,9189276909.12
2018-01-26,'600198,大唐电信,10.89,10.94,10.33,10.39,10.36,0.53,5.1158,3.0086,26180704,278227658.0,9606161260.08,9476441812.53
2018-01-25,'600198,大唐电信,10.36,10.56,9.98,10.09,10.1,0.26,2.5743,2.0734,18042655,186231653.0,9138643769.92,9015237573.72
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-29,'600198,大唐电信,10.56,10.94,10.5,10.67,10.89,-0.33,-3.0303,2.0994,18268842,195047335.0,9315065464.32,9189276909.12
2018-01-26,'600198,大唐电信,10.89,10.94,10.33,10.39,10.36,0.53,5.1158,3.0086,26180704,278227658.0,9606161260.08,9476441812.53
2018-01-25,'600198,大唐电信,10.36,10.56,9.98,10.09,10.1,0.26,2.5743,2.0734,18042655,186231653.0,9138643769.92,9015237573.72
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-02-02,'600198,大唐电信,7.58,7.58,7.58,7.58,8.42,-0.84,-9.9762,0.4644,4041600,30635328.0,6686382217.76,6596090811.66
2018-02-01,'600198,大唐电信,8.42,8.42,8.42,8.42,9.35,-0.93,-9.9465,0.3157,2747400,23133108.0,7427353334.24,7327056020.34
2018-01-31,'600198,大唐电信,9.35,9.35,9.35,9.35,10.39,-1.04,-10.0096,0.5899,5133500,47998225.0,8247714213.2,8136338929.95
2018-01-30,'600198,大唐电信,10.39,10.57,10.36,10.5,10.56,-0.17,-1.6098,0.9141,7954201,83055768.0,9165107024.08,9041343474.03
2018-01-29,'600198,大唐电信,10.56,10.94,10.5,10.67,10.89,-0.33,-3.0303,2.0994,18268842,195047335.0,9315065464.32,9189276909.12
2018-01-26,'600198,大唐电信,10.89,10.94,10.33,10.39,10.36,0.53,5.1158,3.0086,26180704,278227658.0,9606161260.08,9476441812.53
2018-01-25,'600198,大唐电信,10.36,10.56,9.98,10.09,10.1,0.26,2.5743,2.0734,18042655,186231653.0,9138643769.92,9015237573.72
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-02-02,'600198,大唐电信,7.58,7.58,7.58,7.58,8.42,-0.84,-9.9762,0.4644,4041600,30635328.0,6686382217.76,6596090811.66
2018-02-01,'600198,大唐电信,8.42,8.42,8.42,8.42,9.35,-0.93,-9.9465,0.3157,2747400,23133108.0,7427353334.24,7327056020.34
2018-01-31,'600198,大唐电信,9.35,9.35,9.35,9.35,10.39,-1.04,-10.0096,0.5899,5133500,47998225.0,8247714213.2,8136338929.95
2018-01-30,'600198,大唐电信,10.39,10.57,10.36,10.5,10.56,-0.17,-1.6098,0.9141,7954201,83055768.0,9165107024.08,9041343474.03
2018-01-29,'600198,大唐电信,10.56,10.94,10.5,10.67,10.89,-0.33,-3.0303,2.0994,18268842,195047335.0,9315065464.32,9189276909.12
2018-01-26,'600198,大唐电信,10.89,10.94,10.33,10.39,10.36,0.53,5.1158,3.0086,26180704,278227658.0,9606161260.08,9476441812.53
2018-01-25,'600198,大唐电信,10.36,10.56,9.98,10.09,10.1,0.26,2.5743,2.0734,18042655,186231653.0,9138643769.92,9015237573.72
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-02-02,'600198,大唐电信,7.58,7.58,7.58,7.58,8.42,-0.84,-9.9762,0.4644,4041600,30635328.0,6686382217.76,6596090811.66
2018-02-01,'600198,大唐电信,8.42,8.42,8.42,8.42,9.35,-0.93,-9.9465,0.3157,2747400,23133108.0,7427353334.24,7327056020.34
2018-01-31,'600198,大唐电信,9.35,9.35,9.35,9.35,10.39,-1.04,-10.0096,0.5899,5133500,47998225.0,8247714213.2,8136338929.95
2018-01-30,'600198,大唐电信,10.39,10.57,10.36,10.5,10.56,-0.17,-1.6098,0.9141,7954201,83055768.0,9165107024.08,9041343474.03
2018-01-29,'600198,大唐电信,10.56,10.94,10.5,10.67,10.89,-0.33,-3.0303,2.0994,18268842,195047335.0,9315065464.32,9189276909.12
2018-01-26,'600198,大唐电信,10.89,10.94,10.33,10.39,10.36,0.53,5.1158,3.0086,26180704,278227658.0,9606161260.08,9476441812.53
2018-01-25,'600198,大唐电信,10.36,10.56,9.98,10.09,10.1,0.26,2.5743,2.0734,18042655,186231653.0,9138643769.92,9015237573.72
