日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'300554,三超新材,71.8,74.0,70.61,72.2,72.23,-0.43,-0.5953,10.3629,1347176,97549892.94,3733600000.0,933400000.0
2018-01-23,'300554,三超新材,72.23,74.98,70.1,71.0,71.5,0.73,1.021,12.9296,1680849,121491438.77,3755960000.0,938990000.0
2018-01-22,'300554,三超新材,71.5,72.5,69.16,71.08,72.0,-0.5,-0.6944,14.1607,1840895,130502937.84,3718000000.0,929500000.0
2018-01-19,'300554,三超新材,72.0,74.22,70.08,73.0,69.32,2.68,3.8661,26.4362,3436711,248336399.76,3744000000.0,936000000.0
2018-01-18,'300554,三超新材,69.32,69.32,67.12,68.0,63.02,6.3,9.9968,10.5675,1373770,94463624.44,3604640000.0,901160000.0
2018-01-17,'300554,三超新材,63.02,63.75,59.71,60.1,60.53,2.49,4.1137,8.5369,1109800,68983400.0,3277040000.0,819260000.0
2018-01-16,'300554,三超新材,60.53,61.27,59.06,59.06,59.03,1.5,2.5411,4.9187,639425,38718021.6,3147560000.0,786890000.0
2018-01-15,'300554,三超新材,59.03,60.68,58.4,60.0,60.27,-1.24,-2.0574,5.8572,761439,45372209.08,3069560000.0,767390000.0
2018-01-12,'300554,三超新材,60.27,61.1,59.61,60.0,60.28,-0.01,-0.0166,3.6781,478150,28887284.0,3134040000.0,783510000.0
2018-01-11,'300554,三超新材,60.28,61.35,57.72,59.0,59.4,0.88,1.4815,6.0971,792617,46992749.4,3134560000.0,783640000.0
2018-01-10,'300554,三超新材,59.4,61.24,58.39,60.89,61.28,-1.88,-3.0679,5.2754,685800,40967298.0,3088800000.0,772200000.0
2018-01-09,'300554,三超新材,61.28,61.98,61.01,61.75,62.14,-0.86,-1.384,3.9668,515680,31658099.8,3186560000.0,796640000.0
2018-01-08,'300554,三超新材,62.14,64.16,61.17,63.16,61.23,0.91,1.4862,7.461,969933,60683515.4,3231280000.0,807820000.0
2018-01-05,'300554,三超新材,61.23,62.13,60.71,61.06,61.22,0.01,0.0163,4.6618,606033,37274966.61,3183960000.0,795990000.0
2018-01-04,'300554,三超新材,61.22,62.21,60.6,61.3,62.0,-0.78,-1.2581,4.6887,609532,37427204.32,3183440000.0,795860000.0
2018-01-03,'300554,三超新材,62.0,62.58,61.0,62.41,61.74,0.26,0.4211,7.4762,971911,60222971.75,3224000000.0,806000000.0
2018-01-02,'300554,三超新材,61.74,62.63,59.59,60.0,59.39,2.35,3.9569,6.98,907400,55847248.0,3210480000.0,802620000.0
2017-12-29,'300554,三超新材,59.39,61.02,58.62,61.02,60.9,-1.51,-2.4795,5.2192,678500,40369199.9,3088280000.0,772070000.0
2017-12-28,'300554,三超新材,60.9,61.99,59.66,60.0,60.61,0.29,0.4785,4.2401,551210,33743966.92,3166800000.0,791700000.0
2017-12-27,'300554,三超新材,60.61,62.6,60.4,62.2,62.37,-1.76,-2.8219,5.541,720324,44360814.24,3151720000.0,787930000.0
2017-12-26,'300554,三超新材,62.37,63.38,59.8,60.13,60.13,2.24,3.7253,7.5872,986333,61253409.89,3243240000.0,810810000.0
2017-12-25,'300554,三超新材,60.13,60.58,58.0,59.89,60.53,-0.4,-0.6608,5.5023,715300,42463741.8,3126760000.0,781690000.0
2017-12-22,'300554,三超新材,60.53,61.38,59.05,59.05,59.39,1.14,1.9195,5.6992,740900,44962560.0,3147560000.0,786890000.0
2017-12-21,'300554,三超新材,59.39,60.11,57.9,59.99,59.3,0.09,0.1518,6.0591,787677,46759291.02,3088280000.0,772070000.0
2017-12-20,'300554,三超新材,59.3,60.75,58.02,58.38,57.48,1.82,3.1663,10.2852,1337073,79688971.94,3083600000.0,770900000.0
2017-12-19,'300554,三超新材,57.48,57.61,55.8,55.9,55.8,1.68,3.0108,5.7895,752638,42839525.6,2988960000.0,747240000.0
2017-12-18,'300554,三超新材,55.8,56.47,55.08,55.5,55.5,0.3,0.5405,4.9187,639434,35677609.5,2901600000.0,725400000.0
2017-12-15,'300554,三超新材,55.5,58.12,54.8,58.1,58.4,-2.9,-4.9658,7.5192,977500,54979306.0,2886000000.0,721500000.0
2017-12-14,'300554,三超新材,58.4,58.4,57.2,57.97,57.7,0.7,1.2132,4.9569,644400,37226676.0,3036800000.0,759200000.0
2017-12-13,'300554,三超新材,57.7,58.11,56.56,56.56,57.02,0.68,1.1926,4.7096,612252,35233522.2,3000400000.0,750100000.0
2017-12-12,'300554,三超新材,57.02,59.97,57.02,59.39,59.71,-2.69,-4.5051,5.6954,740400,43250430.48,2965040000.0,741260000.0
2017-12-11,'300554,三超新材,59.71,60.56,58.7,59.95,59.95,-0.24,-0.4003,5.2175,678273,40286539.28,3104920000.0,776230000.0
