日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'300733,西菱动力,30.93,32.36,29.5,31.2,29.92,1.01,3.3757,52.3517,20940660,646417593.73,4948800000.0,1237200000.0
2018-01-23,'300733,西菱动力,29.92,29.92,29.92,29.92,27.2,2.72,10.0,0.7885,315412,9437127.04,4787200000.0,1196800000.0
2018-01-22,'300733,西菱动力,27.2,27.2,27.2,27.2,24.73,2.47,9.9879,0.143,57180,1555296.0,4352000000.0,1088000000.0
2018-01-19,'300733,西菱动力,24.73,24.73,24.73,24.73,22.48,2.25,10.0089,0.0302,12079,298713.67,3956800000.0,989200000.0
2018-01-18,'300733,西菱动力,22.48,22.48,22.48,22.48,20.44,2.04,9.9804,0.0263,10500,236040.0,3596800000.0,899200000.0
2018-01-17,'300733,西菱动力,20.44,20.44,20.44,20.44,18.58,1.86,10.0108,0.0259,10372,212003.68,3270400000.0,817600000.0
2018-01-16,'300733,N西菱,18.58,18.58,15.48,15.48,12.9,5.68,44.031,0.0378,15108,278071.64,2972800000.0,743200000.0
