ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-24,'300647,³¬ÆµÈý,19.38,19.43,18.96,19.11,19.07,0.31,1.6256,3.2659,979757,18879304.64,2382867900.0,581400000.0
2018-01-23,'300647,³¬ÆµÈý,19.07,19.27,18.92,18.92,19.07,0.0,0.0,1.6713,501385,9581663.63,2344751850.0,572100000.0
2018-01-22,'300647,³¬ÆµÈý,19.07,19.27,18.63,19.09,19.19,-0.12,-0.6253,2.7531,825928,15661611.6,2344751850.0,572100000.0
2018-01-19,'300647,³¬ÆµÈý,19.19,19.36,19.0,19.0,19.09,0.1,0.5238,3.9775,1193261,22929097.87,2359506450.0,575700000.0
2018-01-18,'300647,³¬ÆµÈý,19.09,19.18,18.81,19.01,19.07,0.02,0.1049,2.2319,669580,12748947.0,2347210950.0,572700000.0
2018-01-17,'300647,³¬ÆµÈý,19.07,19.25,18.42,18.55,18.65,0.42,2.252,4.5368,1361046,25758823.1,2344751850.0,572100000.0
2018-01-16,'300647,³¬ÆµÈý,18.65,18.82,18.23,18.23,18.44,0.21,1.1388,2.8002,840073,15657307.76,2293110750.0,559500000.0
2018-01-15,'300647,³¬ÆµÈý,18.44,19.39,18.12,19.39,19.4,-0.96,-4.9485,4.3246,1297373,24221199.67,2267290200.0,553200000.0
2018-01-12,'300647,³¬ÆµÈý,19.4,19.52,19.04,19.22,19.3,0.1,0.5181,3.1017,930500,17991895.0,2385327000.0,582000000.0
2018-01-11,'300647,³¬ÆµÈý,19.3,19.39,18.82,19.04,19.05,0.25,1.3123,3.0608,918242,17634160.06,2373031500.0,579000000.0
2018-01-10,'300647,³¬ÆµÈý,19.05,19.51,18.8,19.4,19.47,-0.42,-2.1572,3.1786,953589,18218425.88,2342292750.0,571500000.0
2018-01-09,'300647,³¬ÆµÈý,19.47,19.53,19.28,19.34,19.34,0.13,0.6722,2.0723,621700,12066321.0,2393933850.0,584100000.0
2018-01-08,'300647,³¬ÆµÈý,19.34,19.57,19.18,19.46,19.42,-0.08,-0.4119,2.5176,755282,14617201.8,2377949700.0,580200000.0
