»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'300718,≥§ ¢÷·≥–,40.98,41.35,39.71,39.86,39.9,1.08,2.7068,10.5735,2643365,107573858.07,4098000000.0,1024500000.0
2018-01-23,'300718,≥§ ¢÷·≥–,39.9,39.95,39.22,39.35,39.4,0.5,1.269,6.1964,1549098,61311548.59,3990000000.0,997500000.0
2018-01-22,'300718,≥§ ¢÷·≥–,39.4,40.8,38.0,40.8,40.68,-1.28,-3.1465,9.8533,2463318,97395096.71,3940000000.0,985000000.0
2018-01-19,'300718,≥§ ¢÷·≥–,40.68,43.0,40.5,41.4,41.43,-0.75,-1.8103,15.5263,3881564,162515524.27,4068000000.0,1017000000.0
2018-01-18,'300718,≥§ ¢÷·≥–,41.43,41.93,41.0,41.67,42.13,-0.7,-1.6615,12.2905,3072633,127151244.34,4143000000.0,1035750000.0
2018-01-17,'300718,≥§ ¢÷·≥–,42.13,42.3,39.92,40.01,40.47,1.66,4.1018,22.0619,5515465,227781059.0,4213000000.0,1053250000.0
2018-01-16,'300718,≥§ ¢÷·≥–,40.47,40.99,38.18,38.2,38.49,1.98,5.1442,16.5501,4137530,166145751.76,4047000000.0,1011750000.0
2018-01-15,'300718,≥§ ¢÷·≥–,38.49,39.19,38.17,39.0,39.41,-0.92,-2.3344,7.119,1779740,68826532.03,3849000000.0,962250000.0
2018-01-12,'300718,≥§ ¢÷·≥–,39.41,39.77,38.29,38.7,38.64,0.77,1.9928,8.969,2242240,87911436.09,3941000000.0,985250000.0
2018-01-11,'300718,≥§ ¢÷·≥–,38.64,39.28,37.7,37.92,38.26,0.38,0.9932,7.906,1976492,76548322.64,3864000000.0,966000000.0
2018-01-10,'300718,≥§ ¢÷·≥–,38.26,40.49,38.0,40.16,40.15,-1.89,-4.7073,11.4752,2868797,111713908.03,3826000000.0,956500000.0
2018-01-09,'300718,≥§ ¢÷·≥–,40.15,40.49,39.71,39.96,39.98,0.17,0.4252,8.6945,2173621,87146800.1,4015000000.0,1003750000.0
2018-01-08,'300718,≥§ ¢÷·≥–,39.98,39.98,38.96,38.96,38.96,1.02,2.6181,8.488,2122003,83856728.99,3998000000.0,999500000.0
2018-01-05,'300718,≥§ ¢÷·≥–,38.96,39.48,38.82,39.1,39.17,-0.21,-0.5361,6.0889,1522233,59534912.82,3896000000.0,974000000.0
2018-01-04,'300718,≥§ ¢÷·≥–,39.17,39.87,38.95,39.46,39.59,-0.42,-1.0609,7.4958,1873962,73848075.74,3917000000.0,979250000.0
2018-01-03,'300718,≥§ ¢÷·≥–,39.59,40.12,38.95,40.02,40.29,-0.7,-1.7374,9.8193,2454836,96939986.16,3959000000.0,989750000.0
2018-01-02,'300718,≥§ ¢÷·≥–,40.29,40.99,39.87,40.48,40.27,0.02,0.0497,7.9612,1990310,80338407.54,4029000000.0,1007250000.0
2017-12-29,'300718,≥§ ¢÷·≥–,40.27,41.3,39.77,40.1,40.08,0.19,0.4741,10.5958,2648961,107399518.16,4027000000.0,1006750000.0
2017-12-28,'300718,≥§ ¢÷·≥–,40.08,40.8,38.8,39.0,39.2,0.88,2.2449,12.7191,3179780,127043801.63,4008000000.0,1002000000.0
2017-12-27,'300718,≥§ ¢÷·≥–,39.2,40.31,38.92,39.16,39.3,-0.1,-0.2545,12.8889,3222216,127346033.27,3920000000.0,980000000.0
2017-12-26,'300718,≥§ ¢÷·≥–,39.3,40.29,37.5,37.77,37.77,1.53,4.0508,16.002,4000496,156657067.58,3930000000.0,982500000.0
2017-12-25,'300718,≥§ ¢÷·≥–,37.77,37.95,36.31,36.77,37.18,0.59,1.5869,7.24,1810002,66849538.81,3777000000.0,944250000.0
2017-12-22,'300718,≥§ ¢÷·≥–,37.18,38.3,37.13,37.31,37.31,-0.13,-0.3484,5.8076,1451895,54610022.37,3718000000.0,929500000.0
