хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-01-24,'603908,да╦ъ╣я,35.23,35.35,34.61,34.8,35.01,0.22,0.6284,2.0807,347263,12205344.0,2349488700.0,587988700.0
2018-01-23,'603908,да╦ъ╣я,35.01,35.11,34.65,34.65,34.75,0.26,0.7482,1.9934,332700,11620192.0,2334816900.0,584316900.0
2018-01-22,'603908,да╦ъ╣я,34.75,34.77,34.0,34.72,34.72,0.03,0.0864,1.6896,282000,9737239.0,2317477500.0,579977500.0
2018-01-19,'603908,да╦ъ╣я,34.72,35.08,34.51,34.73,34.78,-0.06,-0.1725,1.9317,322400,11224856.0,2315476800.0,579476800.0
2018-01-18,'603908,да╦ъ╣я,34.78,34.98,34.44,34.7,34.72,0.06,0.1728,1.5524,259100,9007004.0,2319478200.0,580478200.0
2018-01-17,'603908,да╦ъ╣я,34.72,34.86,34.0,34.3,34.3,0.42,1.2245,1.7436,291000,10039733.0,2315476800.0,579476800.0
2018-01-16,'603908,да╦ъ╣я,34.3,34.46,33.86,33.86,33.84,0.46,1.3593,1.7927,299200,10259366.0,2287467000.0,572467000.0
2018-01-15,'603908,да╦ъ╣я,33.84,35.27,33.73,35.22,35.28,-1.44,-4.0816,1.9083,318500,10902205.0,2256789600.0,564789600.0
2018-01-12,'603908,да╦ъ╣я,35.28,35.53,34.45,35.53,35.52,-0.24,-0.6757,1.3607,227100,7993409.0,2352823200.0,588823200.0
2018-01-11,'603908,да╦ъ╣я,35.52,35.59,34.55,35.0,34.96,0.56,1.6018,1.734,289400,10207540.0,2368828800.0,592828800.0
2018-01-10,'603908,да╦ъ╣я,34.96,36.15,34.86,36.15,36.11,-1.15,-3.1847,2.2409,374000,13229016.0,2331482400.0,583482400.0
2018-01-09,'603908,да╦ъ╣я,36.11,36.2,35.81,35.85,36.06,0.05,0.1387,1.8268,304900,10995974.0,2408175900.0,602675900.0
2018-01-08,'603908,да╦ъ╣я,36.06,36.19,35.6,35.67,35.71,0.35,0.9801,2.2756,379800,13611255.0,2404841400.0,601841400.0
2018-01-05,'603908,да╦ъ╣я,35.71,36.2,35.62,35.65,35.83,-0.12,-0.3349,1.3229,220800,7886242.0,2381499900.0,595999900.0
2018-01-04,'603908,да╦ъ╣я,35.83,36.27,35.6,35.95,35.8,0.03,0.0838,1.8664,311500,11183893.0,2389502700.0,598002700.0
2018-01-03,'603908,да╦ъ╣я,35.8,35.97,35.6,35.76,35.84,-0.04,-0.1116,1.8328,305900,10936681.0,2387502000.0,597502000.0
2018-01-02,'603908,да╦ъ╣я,35.84,36.3,35.53,35.99,36.0,-0.16,-0.4444,2.2265,371601,13317203.0,2390169600.0,598169600.0
2017-12-29,'603908,да╦ъ╣я,36.0,36.42,35.61,36.06,36.86,-0.86,-2.3332,3.2888,548900,19749562.0,2400840000.0,600840000.0
