»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'603367,≥Ω–¿“©“µ,20.64,20.75,20.31,20.43,20.37,0.27,1.3255,4.6605,4660528,95965133.0,9357205920.0,2064000000.0
2018-01-23,'603367,≥Ω–¿“©“µ,20.37,20.72,20.21,20.3,20.37,0.0,0.0,4.2948,4294827,87737699.0,9234800610.0,2037000000.0
2018-01-22,'603367,≥Ω–¿“©“µ,20.37,21.13,20.2,21.12,21.45,-1.08,-5.035,8.0292,8029195,164683304.0,9234800610.0,2037000000.0
2018-01-19,'603367,≥Ω–¿“©“µ,21.45,22.45,21.4,22.4,22.53,-1.08,-4.7936,10.75,10750046,235645237.0,9724421850.0,2145000000.0
2018-01-18,'603367,≥Ω–¿“©“µ,22.53,22.83,22.0,22.19,22.21,0.32,1.4408,10.1331,10133050,228325778.0,10214043090.0,2253000000.0
2018-01-17,'603367,≥Ω–¿“©“µ,22.21,22.8,21.8,22.33,22.4,-0.19,-0.8482,10.1818,10181814,226948807.0,10068970130.0,2221000000.0
2018-01-16,'603367,≥Ω–¿“©“µ,22.4,22.79,21.21,21.5,21.91,0.49,2.2364,15.2443,15244306,340206196.0,10155107200.0,2240000000.0
2018-01-15,'603367,≥Ω–¿“©“µ,21.91,22.71,20.68,21.26,21.71,0.2,0.9212,18.5578,18557771,403777126.0,9932964230.0,2191000000.0
2018-01-12,'603367,≥Ω–¿“©“µ,21.71,23.85,21.7,22.8,22.19,-0.48,-2.1631,27.7416,27741633,635587845.0,9842293630.0,2171000000.0
2018-01-11,'603367,≥Ω–¿“©“µ,22.19,22.19,19.85,20.0,20.17,2.02,10.0149,10.4402,10440234,221096561.0,10059903070.0,2219000000.0
2018-01-10,'603367,≥Ω–¿“©“µ,20.17,21.15,19.8,21.05,21.3,-1.13,-5.3052,11.5477,11547725,236903921.0,9144130010.0,2017000000.0
2018-01-09,'603367,≥Ω–¿“©“µ,21.3,21.66,20.26,20.5,20.6,0.7,3.3981,17.0067,17006690,361705126.0,9656418900.0,2130000000.0
2018-01-08,'603367,≥Ω–¿“©“µ,20.6,20.7,20.03,20.3,20.29,0.31,1.5278,9.6531,9653102,196699901.0,9339071800.0,2060000000.0
2018-01-05,'603367,≥Ω–¿“©“µ,20.29,20.49,19.71,19.8,19.73,0.56,2.8383,8.7813,8781299,177002177.0,9198532370.0,2029000000.0
2018-01-04,'603367,≥Ω–¿“©“µ,19.73,19.89,19.63,19.85,19.89,-0.16,-0.8044,5.007,5007041,98841227.0,8944654690.0,1973000000.0
2018-01-03,'603367,≥Ω–¿“©“µ,19.89,20.14,19.71,19.92,20.01,-0.12,-0.5997,6.9855,6985508,139276060.0,9017191170.0,1989000000.0
2018-01-02,'603367,≥Ω–¿“©“µ,20.01,20.16,19.62,19.7,19.82,0.19,0.9586,6.5655,6565509,130214852.0,9071593530.0,2001000000.0
2017-12-29,'603367,≥Ω–¿“©“µ,19.82,20.34,19.8,19.87,19.8,0.02,0.101,6.9626,6962566,139572547.0,8985456460.0,1982000000.0
2017-12-28,'603367,≥Ω–¿“©“µ,19.8,20.25,19.48,19.8,20.09,-0.29,-1.4435,10.4558,10455804,207355961.0,8976389400.0,1980000000.0
