日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'300619,金银河,44.69,45.0,42.5,42.9,43.9,0.79,1.7995,11.7228,2189817,95583858.95,3337449200.0,834809200.0
2018-01-23,'300619,金银河,43.9,45.76,41.98,42.0,41.6,2.3,5.5288,14.5466,2717300,120499905.0,3278452000.0,820052000.0
2018-01-22,'300619,金银河,41.6,42.2,39.8,41.48,41.91,-0.31,-0.7397,5.9128,1104517,45274223.24,3106688000.0,777088000.0
2018-01-19,'300619,金银河,41.91,42.85,41.8,42.01,42.31,-0.4,-0.9454,5.4697,1021738,43169664.26,3129838800.0,782878800.0
2018-01-18,'300619,金银河,42.31,42.75,41.7,41.88,41.7,0.61,1.4628,6.9622,1300538,55070422.8,3159710800.0,790350800.0
2018-01-17,'300619,金银河,41.7,41.96,38.5,40.85,40.88,0.82,2.0059,6.8062,1271397,51819705.6,3114156000.0,778956000.0
2018-01-16,'300619,金银河,40.88,41.37,40.39,40.48,40.5,0.38,0.9383,4.2227,788798,32246340.52,3052918400.0,763638400.0
2018-01-15,'300619,金银河,40.5,43.27,40.16,43.27,42.81,-2.31,-5.3959,6.7156,1254479,51818176.84,3024540000.0,756540000.0
2018-01-12,'300619,金银河,42.81,44.0,42.76,43.78,44.0,-1.19,-2.7045,5.3961,1007998,43527793.16,3197050800.0,799690800.0
2018-01-11,'300619,金银河,44.0,44.18,42.1,42.83,42.98,1.02,2.3732,6.2302,1163798,50787408.18,3285920000.0,821920000.0
2018-01-10,'300619,金银河,42.98,44.67,42.5,44.67,44.41,-1.43,-3.22,6.8236,1274640,55188851.8,3209746400.0,802866400.0
2018-01-09,'300619,金银河,44.41,44.9,44.2,44.2,44.36,0.05,0.1127,5.3054,991040,44095306.0,3316538800.0,829578800.0
2018-01-08,'300619,金银河,44.36,45.89,43.6,44.96,45.58,-1.22,-2.6766,8.4754,1583200,70138038.0,3312804800.0,828644800.0
2018-01-05,'300619,金银河,45.58,46.77,45.47,46.08,46.4,-0.82,-1.7672,6.5461,1222809,56232240.05,3403914400.0,851434400.0
2018-01-04,'300619,金银河,46.4,47.0,46.01,46.23,46.7,-0.3,-0.6424,7.5156,1403909,65278752.4,3465152000.0,866752000.0
2018-01-03,'300619,金银河,46.7,47.35,46.11,46.51,46.29,0.41,0.8857,8.5787,1602509,75134933.39,3487556000.0,872356000.0
2018-01-02,'300619,金银河,46.29,46.78,46.0,46.2,46.46,-0.17,-0.3659,6.1167,1142600,52881114.0,3456937200.0,864697200.0
2017-12-29,'300619,金银河,46.46,46.91,46.1,46.86,47.29,-0.83,-1.7551,9.1076,1701300,78932521.0,3469632800.0,867872800.0
2017-12-28,'300619,金银河,47.29,49.69,45.7,45.85,45.7,1.59,3.4792,15.3999,2876700,136825595.0,3531617200.0,883377200.0
