日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'603363,傲农生物,21.04,21.04,19.67,20.0,19.13,1.91,9.9843,29.0591,17435462,354874412.0,8836800000.0,1262400000.0
2018-01-23,'603363,傲农生物,19.13,19.13,17.12,17.16,17.39,1.74,10.0058,39.0897,23453793,434025723.0,8034600000.0,1147800000.0
2018-01-22,'603363,傲农生物,17.39,18.4,16.81,17.6,18.56,-1.17,-6.3039,35.5587,21335221,371877551.0,7303800000.0,1043400000.0
2018-01-19,'603363,傲农生物,18.56,19.49,17.07,17.85,17.86,0.7,3.9194,57.3679,34420720,636520747.0,7795200000.0,1113600000.0
2018-01-18,'603363,傲农生物,17.86,17.86,15.47,15.7,16.24,1.62,9.9754,45.263,27157824,468129226.0,7501200000.0,1071600000.0
2018-01-17,'603363,傲农生物,16.24,17.48,16.2,17.19,16.28,-0.04,-0.2457,36.0008,21600489,366114434.0,6820800000.0,974400000.0
2018-01-16,'603363,傲农生物,16.28,16.28,14.8,14.8,14.8,1.48,10.0,20.6861,12411668,195466359.0,6837600000.0,976800000.0
2018-01-15,'603363,傲农生物,14.8,15.68,14.77,15.67,15.88,-1.08,-6.801,18.7449,11246936,170572002.0,6216000000.0,888000000.0
2018-01-12,'603363,傲农生物,15.88,16.7,15.68,16.55,16.72,-0.84,-5.0239,21.7502,13050113,210019556.0,6669600000.0,952800000.0
2018-01-11,'603363,傲农生物,16.72,17.49,16.12,16.6,17.21,-0.49,-2.8472,24.7903,14874163,250363125.0,7022400000.0,1003200000.0
2018-01-10,'603363,傲农生物,17.21,18.16,16.71,17.97,18.57,-1.36,-7.3236,37.8046,22682756,392832484.0,7228200000.0,1032600000.0
2018-01-09,'603363,傲农生物,18.57,19.6,17.15,17.38,17.89,0.68,3.801,53.7932,32275939,593682298.0,7799400000.0,1114200000.0
2018-01-08,'603363,傲农生物,17.89,17.97,16.91,17.1,16.84,1.05,6.2352,42.4611,25476682,442313053.0,7513800000.0,1073400000.0
