ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-24,'603605,çêÀ³ÑÅ,31.43,31.43,28.38,28.45,28.57,2.86,10.0105,17.2679,8633939,263963339.0,6286000000.0,1571500000.0
2018-01-23,'603605,çêÀ³ÑÅ,28.57,28.69,27.91,28.55,29.08,-0.51,-1.7538,8.6622,4331100,122744222.0,5714000000.0,1428500000.0
2018-01-22,'603605,çêÀ³ÑÅ,29.08,30.29,28.75,29.05,29.32,-0.24,-0.8186,13.7144,6857206,201982048.0,5816000000.0,1454000000.0
2018-01-19,'603605,çêÀ³ÑÅ,29.32,29.54,28.37,28.67,28.82,0.5,1.7349,10.3174,5158692,150476766.0,5864000000.0,1466000000.0
2018-01-18,'603605,çêÀ³ÑÅ,28.82,29.57,28.62,28.7,28.89,-0.07,-0.2423,9.69,4844978,140815754.0,5764000000.0,1441000000.0
2018-01-17,'603605,çêÀ³ÑÅ,28.89,29.24,27.81,28.11,28.33,0.56,1.9767,11.7043,5852157,167804869.0,5778000000.0,1444500000.0
2018-01-16,'603605,çêÀ³ÑÅ,28.33,28.59,27.1,27.25,27.15,1.18,4.3462,10.747,5373494,150647357.0,5666000000.0,1416500000.0
2018-01-15,'603605,çêÀ³ÑÅ,27.15,28.73,26.91,28.45,28.64,-1.49,-5.2025,8.6582,4329118,120216869.0,5430000000.0,1357500000.0
2018-01-12,'603605,çêÀ³ÑÅ,28.64,29.28,28.4,29.15,29.27,-0.63,-2.1524,8.3769,4188446,120813510.0,5728000000.0,1432000000.0
2018-01-11,'603605,çêÀ³ÑÅ,29.27,29.67,28.28,28.66,28.99,0.28,0.9659,11.0491,5524573,161899430.0,5854000000.0,1463500000.0
2018-01-10,'603605,çêÀ³ÑÅ,28.99,29.44,28.7,29.28,29.6,-0.61,-2.0608,10.0083,5004171,145250274.0,5798000000.0,1449500000.0
2018-01-09,'603605,çêÀ³ÑÅ,29.6,29.88,28.35,28.57,28.57,1.03,3.6052,19.4062,9703101,285010589.0,5920000000.0,1480000000.0
2018-01-08,'603605,çêÀ³ÑÅ,28.57,28.59,27.77,28.16,28.06,0.51,1.8175,8.2647,4132336,116274767.0,5714000000.0,1428500000.0
2018-01-05,'603605,çêÀ³ÑÅ,28.06,28.49,27.87,28.04,28.06,0.0,0.0,5.8693,2934646,82464834.0,5612000000.0,1403000000.0
2018-01-04,'603605,çêÀ³ÑÅ,28.06,28.47,27.9,28.43,28.34,-0.28,-0.988,6.7294,3364683,94632678.0,5612000000.0,1403000000.0
2018-01-03,'603605,çêÀ³ÑÅ,28.34,28.68,27.82,28.68,28.81,-0.47,-1.6314,9.4087,4704371,132942221.0,5668000000.0,1417000000.0
2018-01-02,'603605,çêÀ³ÑÅ,28.81,29.06,28.31,28.31,28.72,0.09,0.3134,8.0754,4037708,116131633.0,5762000000.0,1440500000.0
2017-12-29,'603605,çêÀ³ÑÅ,28.72,29.38,28.5,28.98,29.28,-0.56,-1.9126,10.8375,5418759,156143903.0,5744000000.0,1436000000.0
2017-12-28,'603605,çêÀ³ÑÅ,29.28,29.41,27.95,28.03,28.46,0.82,2.8812,18.6703,9335166,269357772.0,5856000000.0,1464000000.0
2017-12-27,'603605,çêÀ³ÑÅ,28.46,29.48,27.89,28.2,28.4,0.06,0.2113,19.1466,9573314,273828123.0,5692000000.0,1423000000.0
2017-12-26,'603605,çêÀ³ÑÅ,28.4,28.62,27.16,27.19,27.26,1.14,4.182,16.7694,8384684,235336925.0,5680000000.0,1420000000.0
2017-12-25,'603605,çêÀ³ÑÅ,27.26,27.65,26.08,26.79,26.89,0.37,1.376,10.6343,5317163,142448674.0,5452000000.0,1363000000.0
2017-12-22,'603605,çêÀ³ÑÅ,26.89,27.28,26.46,26.68,26.63,0.26,0.9763,7.6789,3839458,103674077.0,5378000000.0,1344500000.0
2017-12-21,'603605,çêÀ³ÑÅ,26.63,26.88,25.58,26.8,27.09,-0.46,-1.698,11.6718,5835910,153502337.0,5326000000.0,1331500000.0
2017-12-20,'603605,çêÀ³ÑÅ,27.09,28.16,27.02,27.52,27.64,-0.55,-1.9899,8.5294,4264713,117669324.0,5418000000.0,1354500000.0
2017-12-19,'603605,çêÀ³ÑÅ,27.64,27.77,27.1,27.1,27.2,0.44,1.6176,8.0099,4004936,110340424.0,5528000000.0,1382000000.0
2017-12-18,'603605,çêÀ³ÑÅ,27.2,27.57,26.91,27.23,27.06,0.14,0.5174,5.9915,2995731,81618045.0,5440000000.0,1360000000.0
2017-12-15,'603605,çêÀ³ÑÅ,27.06,27.47,27.02,27.21,27.47,-0.41,-1.4925,6.249,3124477,84944003.0,5412000000.0,1353000000.0
2017-12-14,'603605,çêÀ³ÑÅ,27.47,27.65,26.78,27.02,26.99,0.48,1.7784,9.6285,4814235,131324719.0,5494000000.0,1373500000.0
2017-12-13,'603605,çêÀ³ÑÅ,26.99,27.15,26.7,26.7,26.7,0.29,1.0861,6.3682,3184089,85721686.0,5398000000.0,1349500000.0
2017-12-12,'603605,çêÀ³ÑÅ,26.7,28.46,26.66,28.33,28.39,-1.69,-5.9528,14.033,7016507,191831688.0,5340000000.0,1335000000.0
2017-12-11,'603605,çêÀ³ÑÅ,28.39,28.48,27.88,28.08,28.26,0.13,0.46,9.3926,4696275,132581207.0,5678000000.0,1419500000.0
2017-12-08,'603605,çêÀ³ÑÅ,28.26,28.88,27.53,27.72,27.83,0.43,1.5451,12.8447,6422361,182213529.0,5652000000.0,1413000000.0
2017-12-07,'603605,çêÀ³ÑÅ,27.83,28.79,27.74,28.7,28.58,-0.75,-2.6242,9.1908,4595423,129757903.0,5566000000.0,1391500000.0
2017-12-06,'603605,çêÀ³ÑÅ,28.58,28.65,27.73,27.73,27.85,0.73,2.6212,13.1535,6576747,186460593.0,5716000000.0,1429000000.0
2017-12-05,'603605,çêÀ³ÑÅ,27.85,28.5,27.38,27.82,28.24,-0.39,-1.381,12.4395,6219749,174088344.0,5570000000.0,1392500000.0
2017-12-04,'603605,çêÀ³ÑÅ,28.24,30.8,28.24,30.7,31.38,-3.14,-10.0064,24.1731,12086565,349955211.0,5648000000.0,1412000000.0
2017-12-01,'603605,çêÀ³ÑÅ,31.38,32.8,30.8,31.56,31.9,-0.52,-1.6301,17.2662,8633094,275334285.0,6276000000.0,1569000000.0
2017-11-30,'603605,çêÀ³ÑÅ,31.9,32.44,31.1,31.42,31.75,0.15,0.4724,19.1898,9594889,305351897.0,6380000000.0,1595000000.0
2017-11-29,'603605,çêÀ³ÑÅ,31.75,32.41,30.5,32.05,32.41,-0.66,-2.0364,22.2938,11146905,348839686.0,6350000000.0,1587500000.0
2017-11-28,'603605,çêÀ³ÑÅ,32.41,33.5,31.35,31.35,31.7,0.71,2.2397,23.0585,11529232,375456781.0,6482000000.0,1620500000.0
2017-11-27,'603605,çêÀ³ÑÅ,31.7,34.44,31.7,33.77,35.22,-3.52,-9.9943,30.2461,15123059,499562379.0,6340000000.0,1585000000.0
2017-11-24,'603605,çêÀ³ÑÅ,35.22,37.85,35.22,36.87,39.13,-3.91,-9.9923,37.3499,18674959,678896228.0,7044000000.0,1761000000.0
2017-11-23,'603605,çêÀ³ÑÅ,39.13,39.13,35.01,35.9,35.57,3.56,10.0084,59.2246,29612280,1113481011.0,7826000000.0,1956500000.0
2017-11-22,'603605,çêÀ³ÑÅ,35.57,35.57,35.57,35.57,32.34,3.23,9.9876,1.2093,604661,21507792.0,7114000000.0,1778500000.0
2017-11-21,'603605,çêÀ³ÑÅ,32.34,32.34,32.34,32.34,29.4,2.94,10.0,0.0993,49670,1606328.0,6468000000.0,1617000000.0
2017-11-20,'603605,çêÀ³ÑÅ,29.4,29.4,29.4,29.4,26.73,2.67,9.9888,0.0882,44124,1297246.0,5880000000.0,1470000000.0
2017-11-17,'603605,çêÀ³ÑÅ,26.73,26.73,26.73,26.73,24.3,2.43,10.0,0.0333,16672,445643.0,5346000000.0,1336500000.0
2017-11-16,'603605,çêÀ³ÑÅ,24.3,24.3,24.3,24.3,22.09,2.21,10.0045,0.0171,8569,208227.0,4860000000.0,1215000000.0
2017-11-15,'603605,NçêÀ³ÑÅ,22.09,22.09,22.09,22.09,15.34,6.75,44.0026,0.0423,21148,467159.0,4418000000.0,1104500000.0
