日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'603500,祥和实业,26.51,26.85,26.21,26.59,26.59,-0.08,-0.3009,5.8643,1847264,49060539.0,3340260000.0,835065000.0
2018-01-23,'603500,祥和实业,26.59,26.71,26.0,26.0,26.21,0.38,1.4498,5.0628,1594796,42108991.0,3350340000.0,837585000.0
2018-01-22,'603500,祥和实业,26.21,26.5,25.87,26.34,26.72,-0.51,-1.9087,6.3848,2011224,52691752.0,3302460000.0,825615000.0
2018-01-19,'603500,祥和实业,26.72,27.95,26.68,27.79,27.71,-0.99,-3.5727,9.7948,3085373,84140054.0,3366720000.0,841680000.0
2018-01-18,'603500,祥和实业,27.71,28.68,27.65,27.9,28.18,-0.47,-1.6678,9.044,2848850,79888938.0,3491460000.0,872865000.0
2018-01-17,'603500,祥和实业,28.18,28.86,27.3,27.8,28.58,-0.4,-1.3996,16.1459,5085971,142225328.0,3550680000.0,887670000.0
2018-01-16,'603500,祥和实业,28.58,29.8,26.85,27.38,27.1,1.48,5.4613,23.9426,7541907,211474258.0,3601080000.0,900270000.0
2018-01-15,'603500,祥和实业,27.1,27.2,25.56,26.2,26.32,0.78,2.9635,14.8371,4673698,124110237.0,3414600000.0,853650000.0
2018-01-12,'603500,祥和实业,26.32,26.63,26.08,26.21,26.62,-0.3,-1.127,6.7747,2134042,56132777.0,3316320000.0,829080000.0
2018-01-11,'603500,祥和实业,26.62,27.16,25.9,26.6,26.61,0.01,0.0376,13.2608,4177140,110793513.0,3354120000.0,838530000.0
2018-01-10,'603500,祥和实业,26.61,26.88,25.8,26.1,26.04,0.57,2.1889,15.6177,4919587,129558293.0,3352860000.0,838215000.0
2018-01-09,'603500,祥和实业,26.04,26.27,25.12,25.19,25.18,0.86,3.4154,10.504,3308757,85671637.0,3281040000.0,820260000.0
2018-01-08,'603500,祥和实业,25.18,25.32,24.73,25.03,25.33,-0.15,-0.5922,4.6053,1450676,36190623.0,3172680000.0,793170000.0
2018-01-05,'603500,祥和实业,25.33,25.69,25.25,25.42,25.65,-0.32,-1.2476,4.2193,1329076,33800198.0,3191580000.0,797895000.0
2018-01-04,'603500,祥和实业,25.65,26.39,25.58,26.0,25.8,-0.15,-0.5814,5.4446,1715063,44474417.0,3231900000.0,807975000.0
2018-01-03,'603500,祥和实业,25.8,25.84,25.32,25.66,26.04,-0.24,-0.9217,5.8586,1845446,47221956.0,3250800000.0,812700000.0
2018-01-02,'603500,祥和实业,26.04,26.85,25.61,25.61,25.85,0.19,0.735,8.1255,2559518,67300191.0,3281040000.0,820260000.0
2017-12-29,'603500,祥和实业,25.85,25.98,25.6,25.78,25.67,0.18,0.7012,5.8221,1833966,47290593.0,3257100000.0,814275000.0
2017-12-28,'603500,祥和实业,25.67,25.89,24.79,25.1,25.14,0.53,2.1082,7.1188,2242422,57291797.0,3234420000.0,808605000.0
2017-12-27,'603500,祥和实业,25.14,25.99,25.09,25.4,25.8,-0.66,-2.5581,9.377,2953745,75375271.0,3167640000.0,791910000.0
2017-12-26,'603500,祥和实业,25.8,26.07,23.71,24.01,24.01,1.79,7.4552,11.9962,3778817,94949117.0,3250800000.0,812700000.0
2017-12-25,'603500,祥和实业,24.01,24.58,23.48,24.42,24.62,-0.61,-2.4777,5.8252,1834938,43790763.0,3025260000.0,756315000.0
2017-12-22,'603500,祥和实业,24.62,25.08,24.5,24.99,24.85,-0.23,-0.9256,3.4792,1095960,27256656.0,3102120000.0,775530000.0
2017-12-21,'603500,祥和实业,24.85,25.07,23.87,25.04,25.39,-0.54,-2.1268,5.0062,1576949,38833433.0,3131100000.0,782775000.0
2017-12-20,'603500,祥和实业,25.39,26.1,25.09,25.09,24.89,0.5,2.0088,8.2441,2596904,66279120.0,3199140000.0,799785000.0
2017-12-19,'603500,祥和实业,24.89,24.94,24.65,24.69,24.82,0.07,0.282,3.0296,954316,23690493.0,3136140000.0,784035000.0
2017-12-18,'603500,祥和实业,24.82,24.86,24.15,24.51,24.48,0.34,1.3889,3.5219,1109388,27259335.0,3127320000.0,781830000.0
2017-12-15,'603500,祥和实业,24.48,25.25,24.36,25.2,25.18,-0.7,-2.78,4.546,1432000,35312603.0,3084480000.0,771120000.0
2017-12-14,'603500,祥和实业,25.18,25.25,24.73,25.0,24.73,0.45,1.8197,4.6595,1467736,36755299.0,3172680000.0,793170000.0
2017-12-13,'603500,祥和实业,24.73,24.83,24.2,24.35,24.37,0.36,1.4772,3.1245,984222,24201280.0,3115980000.0,778995000.0
2017-12-12,'603500,祥和实业,24.37,25.2,24.24,25.2,25.19,-0.82,-3.2553,4.3487,1369841,33721237.0,3070620000.0,767655000.0
2017-12-11,'603500,祥和实业,25.19,25.3,24.76,24.81,24.81,0.38,1.5316,3.6399,1146576,28722290.0,3173940000.0,793485000.0
2017-12-08,'603500,祥和实业,24.81,25.35,24.2,24.3,24.39,0.42,1.722,4.741,1493418,37240761.0,3126060000.0,781515000.0
2017-12-07,'603500,祥和实业,24.39,24.8,24.22,24.33,24.56,-0.17,-0.6922,3.6592,1152660,28300947.0,3073140000.0,768285000.0
