日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'300653,正海生物,34.57,34.65,33.44,33.44,33.83,0.74,2.1874,2.7075,541500,18553650.0,2765600000.0,691400000.0
2018-01-23,'300653,正海生物,33.83,34.06,33.64,33.85,33.85,-0.02,-0.0591,1.972,394403,13356073.88,2706400000.0,676600000.0
2018-01-22,'300653,正海生物,33.85,34.02,32.65,33.54,33.53,0.32,0.9544,2.921,584200,19578200.0,2708000000.0,677000000.0
2018-01-19,'300653,正海生物,33.53,33.89,33.0,33.02,33.37,0.16,0.4795,2.2145,442900,14877638.0,2682400000.0,670600000.0
2018-01-18,'300653,正海生物,33.37,33.71,32.86,33.0,32.95,0.42,1.2747,2.2799,455978,15209444.0,2669600000.0,667400000.0
2018-01-17,'300653,正海生物,32.95,33.23,32.0,32.9,32.51,0.44,1.3534,3.1247,624946,20402241.97,2636000000.0,659000000.0
2018-01-16,'300653,正海生物,32.51,33.2,32.21,32.21,32.4,0.11,0.3395,2.24,448000,14668196.0,2600800000.0,650200000.0
2018-01-15,'300653,正海生物,32.4,34.38,32.11,34.38,34.38,-1.98,-5.7592,3.5685,713703,23670307.73,2592000000.0,648000000.0
2018-01-12,'300653,正海生物,34.38,34.81,34.01,34.34,34.34,0.04,0.1165,2.2852,457034,15752753.4,2750400000.0,687600000.0
2018-01-11,'300653,正海生物,34.34,34.5,33.36,33.57,33.74,0.6,1.7783,2.5085,501700,17191760.0,2747200000.0,686800000.0
2018-01-10,'300653,正海生物,33.74,34.19,33.11,34.19,34.27,-0.53,-1.5465,2.1155,423100,14262891.0,2699200000.0,674800000.0
2018-01-09,'300653,正海生物,34.27,34.57,33.61,33.89,33.9,0.37,1.0914,2.3405,468095,16050489.84,2741600000.0,685400000.0
2018-01-08,'300653,正海生物,33.9,34.29,33.3,33.9,34.1,-0.2,-0.5865,2.7613,552264,18524035.56,2712000000.0,678000000.0
2018-01-05,'300653,正海生物,34.1,34.22,33.83,34.04,34.08,0.02,0.0587,2.197,439400,14952615.0,2728000000.0,682000000.0
2018-01-04,'300653,正海生物,34.08,34.94,33.85,34.79,34.86,-0.78,-2.2375,3.2545,650900,22408878.0,2726400000.0,681600000.0
2018-01-03,'300653,正海生物,34.86,35.14,34.6,35.04,35.04,-0.18,-0.5137,2.2315,446300,15549903.0,2788800000.0,697200000.0
2018-01-02,'300653,正海生物,35.04,35.23,34.81,35.23,34.89,0.15,0.4299,2.008,401600,14041063.0,2803200000.0,700800000.0
2017-12-29,'300653,正海生物,34.89,35.06,34.71,34.8,34.9,-0.01,-0.0287,2.0054,401070,13982129.0,2791200000.0,697800000.0
2017-12-28,'300653,正海生物,34.9,35.33,34.61,34.82,34.94,-0.04,-0.1145,2.6289,525770,18369552.5,2792000000.0,698000000.0
2017-12-27,'300653,正海生物,34.94,35.55,34.8,35.55,35.39,-0.45,-1.2715,2.644,528799,18602717.07,2795200000.0,698800000.0
2017-12-26,'300653,正海生物,35.39,35.63,34.14,34.14,34.18,1.21,3.5401,4.9946,998928,35141009.8,2831200000.0,707800000.0
2017-12-25,'300653,正海生物,34.18,34.93,33.75,34.8,34.95,-0.77,-2.2031,2.9172,583437,19918037.0,2734400000.0,683600000.0
2017-12-22,'300653,正海生物,34.95,35.36,34.6,34.6,34.8,0.15,0.431,1.6215,324300,11346114.0,2796000000.0,699000000.0
2017-12-21,'300653,正海生物,34.8,35.14,33.37,34.31,34.61,0.19,0.549,3.5129,702583,24173353.82,2784000000.0,696000000.0
2017-12-20,'300653,正海生物,34.61,35.0,34.5,34.95,34.88,-0.27,-0.7741,2.111,422200,14664801.0,2768800000.0,692200000.0
2017-12-19,'300653,正海生物,34.88,35.45,34.6,34.66,34.63,0.25,0.7219,3.1516,630311,22051978.7,2790400000.0,697600000.0
2017-12-18,'300653,正海生物,34.63,35.3,33.86,35.04,35.05,-0.42,-1.1983,3.8385,767700,26523289.0,2770400000.0,692600000.0
2017-12-15,'300653,正海生物,35.05,35.37,34.3,34.65,35.03,0.02,0.0571,3.056,611200,21370240.0,2804000000.0,701000000.0
2017-12-14,'300653,正海生物,35.03,35.43,34.05,34.45,34.45,0.58,1.6836,4.0875,817501,28397819.81,2802400000.0,700600000.0
2017-12-13,'300653,正海生物,34.45,34.59,33.15,33.15,33.33,1.12,3.3603,3.384,676800,23028838.0,2756000000.0,689000000.0
2017-12-12,'300653,正海生物,33.33,33.9,32.86,33.9,33.87,-0.54,-1.5943,2.6107,522138,17405349.3,2666400000.0,666600000.0
2017-12-11,'300653,正海生物,33.87,33.9,33.2,33.59,33.6,0.27,0.8036,2.897,579400,19511018.0,2709600000.0,677400000.0
2017-12-08,'300653,正海生物,33.6,33.69,32.51,32.51,32.7,0.9,2.7523,3.953,790599,26423937.62,2688000000.0,672000000.0
2017-12-07,'300653,正海生物,32.7,33.12,31.92,32.28,32.32,0.38,1.1757,2.6508,530157,17283755.42,2616000000.0,654000000.0
2017-12-06,'300653,正海生物,32.32,32.44,31.25,31.46,31.4,0.92,2.9299,2.7972,559437,17807652.25,2585600000.0,646400000.0
2017-12-05,'300653,正海生物,31.4,32.99,30.81,32.57,32.68,-1.28,-3.9168,3.6798,735957,23630409.09,2512000000.0,628000000.0
2017-12-04,'300653,正海生物,32.68,34.71,32.5,34.68,35.05,-2.37,-6.7618,5.7195,1143900,38191186.0,2614400000.0,653600000.0
2017-12-01,'300653,正海生物,35.05,35.25,34.03,34.33,34.23,0.82,2.3956,3.403,680600,23705744.09,2804000000.0,701000000.0
2017-11-30,'300653,正海生物,34.23,34.58,33.91,34.04,34.13,0.1,0.293,2.268,453600,15518883.0,2738400000.0,684600000.0
2017-11-29,'300653,正海生物,34.13,34.72,33.0,34.5,34.72,-0.59,-1.6993,4.3545,870900,29495673.0,2730400000.0,682600000.0
2017-11-28,'300653,正海生物,34.72,34.88,34.06,34.19,34.0,0.72,2.1176,2.814,562800,19430859.0,2777600000.0,694400000.0
2017-11-27,'300653,正海生物,34.0,35.75,33.61,35.75,35.76,-1.76,-4.9217,3.7355,747099,26058092.11,2720000000.0,680000000.0
2017-11-24,'300653,正海生物,35.76,36.45,35.0,35.34,35.8,-0.04,-0.1117,2.7005,540100,19364744.0,2860800000.0,715200000.0
2017-11-23,'300653,正海生物,35.8,37.21,35.8,36.83,37.19,-1.39,-3.7376,4.415,883000,32350477.0,2864000000.0,716000000.0
2017-11-22,'300653,正海生物,37.19,38.06,36.57,37.02,37.31,-0.12,-0.3216,7.104,1420799,53012038.34,2975200000.0,743800000.0
2017-11-21,'300653,正海生物,37.31,38.07,35.98,38.0,38.04,-0.73,-1.919,7.937,1587399,58687776.82,2984800000.0,746200000.0
2017-11-20,'300653,正海生物,38.04,38.28,36.57,37.85,37.8,0.24,0.6349,7.2715,1454299,54819309.12,3043200000.0,760800000.0
2017-11-17,'300653,正海生物,37.8,42.37,37.8,42.0,42.0,-4.2,-10.0,12.3169,2463373,97167735.58,3024000000.0,756000000.0
2017-11-16,'300653,正海生物,42.0,43.23,41.42,42.89,42.7,-0.7,-1.6393,6.3058,1261168,53462449.24,3360000000.0,840000000.0
2017-11-15,'300653,正海生物,42.7,44.59,42.31,44.49,44.9,-2.2,-4.8998,10.1014,2020270,87474527.63,3416000000.0,854000000.0
2017-11-14,'300653,正海生物,44.9,46.08,44.61,44.87,45.15,-0.25,-0.5537,8.9244,1784870,80980925.5,3592000000.0,898000000.0
2017-11-13,'300653,正海生物,45.15,45.49,44.0,45.01,45.07,0.08,0.1775,8.107,1621400,72683926.0,3612000000.0,903000000.0
2017-11-10,'300653,正海生物,45.07,45.91,43.93,44.24,44.18,0.89,2.0145,8.5315,1706300,76781909.0,3605600000.0,901400000.0
2017-11-09,'300653,正海生物,44.18,44.65,43.46,43.81,44.35,-0.17,-0.3833,8.0037,1600742,70344269.68,3534400000.0,883600000.0
2017-11-08,'300653,正海生物,44.35,45.65,43.32,43.69,43.55,0.8,1.837,13.1408,2628155,117389493.07,3548000000.0,887000000.0
2017-11-07,'300653,正海生物,43.55,43.92,42.56,43.41,43.23,0.32,0.7402,10.6457,2129137,91838371.82,3484000000.0,871000000.0
2017-11-06,'300653,正海生物,43.23,43.23,41.18,41.74,41.4,1.83,4.4203,10.5431,2108614,89525286.14,3458400000.0,864600000.0
2017-11-03,'300653,正海生物,41.4,41.8,40.5,41.8,42.2,-0.8,-1.8957,8.5019,1700384,69959604.08,3312000000.0,828000000.0
2017-11-02,'300653,正海生物,42.2,43.28,41.48,41.9,41.88,0.32,0.7641,11.7538,2350752,99714218.08,3376000000.0,844000000.0
2017-11-01,'300653,正海生物,41.88,42.5,41.1,41.1,41.28,0.6,1.4535,9.309,1861799,77976164.27,3350400000.0,837600000.0
2017-10-31,'300653,正海生物,41.28,41.28,39.7,40.06,40.16,1.12,2.7888,7.653,1530599,61879054.2,3302400000.0,825600000.0
2017-10-30,'300653,正海生物,40.16,41.88,39.51,41.15,41.34,-1.18,-2.8544,6.4665,1293301,52742476.25,3212800000.0,803200000.0
2017-10-27,'300653,正海生物,41.34,41.95,40.92,41.74,41.95,-0.61,-1.4541,6.4056,1281122,53036883.16,3307200000.0,826800000.0
2017-10-26,'300653,正海生物,41.95,42.23,40.51,40.92,40.96,0.99,2.417,9.188,1837595,76164982.37,3356000000.0,839000000.0
2017-10-25,'300653,正海生物,40.96,40.96,39.95,40.3,40.4,0.56,1.3861,8.3297,1665932,67581339.26,3276800000.0,819200000.0
2017-10-24,'300653,正海生物,40.4,41.18,39.5,41.1,41.2,-0.8,-1.9417,5.114,1022800,41180642.0,3232000000.0,808000000.0
2017-10-23,'300653,正海生物,41.2,41.2,39.22,39.95,39.88,1.32,3.3099,6.3023,1260467,51152855.62,3296000000.0,824000000.0
2017-10-20,'300653,正海生物,39.88,39.88,38.71,39.21,39.28,0.6,1.5275,5.8043,1160868,45657432.4,3190400000.0,797600000.0
2017-10-19,'300653,正海生物,39.28,40.28,39.15,39.41,39.74,-0.46,-1.1575,6.2185,1243700,49367747.0,3142400000.0,785600000.0
2017-10-18,'300653,正海生物,39.74,42.41,39.68,40.9,40.92,-1.18,-2.8837,9.3445,1868896,77051144.18,3179200000.0,794800000.0
2017-10-17,'300653,正海生物,40.92,41.11,40.13,40.76,41.06,-0.14,-0.341,5.1548,1030967,41995440.55,3273600000.0,818400000.0
2017-10-16,'300653,正海生物,41.06,42.65,40.13,42.0,43.3,-2.24,-5.1732,12.7061,2541210,104665105.83,3284800000.0,821200000.0
2017-10-13,'300653,正海生物,43.3,43.98,41.0,41.6,41.0,2.3,5.6098,22.1633,4432652,189511821.16,3464000000.0,866000000.0
2017-10-12,'300653,正海生物,41.0,42.35,40.18,40.25,40.6,0.4,0.9852,12.798,2559605,105262141.75,3280000000.0,820000000.0
2017-10-11,'300653,正海生物,40.6,43.1,40.01,42.7,41.32,-0.72,-1.7425,24.2746,4854925,203212804.45,3248000000.0,812000000.0
2017-10-10,'300653,正海生物,41.32,41.32,37.5,37.61,37.56,3.76,10.0106,21.8806,4376125,176324562.59,3305600000.0,826400000.0
2017-10-09,'300653,正海生物,37.56,38.13,37.0,37.98,37.49,0.07,0.1867,2.9393,587865,22087547.55,3004800000.0,751200000.0
2017-09-29,'300653,正海生物,37.49,38.45,37.12,38.28,38.1,-0.61,-1.601,4.9775,995500,37637182.0,2999200000.0,749800000.0
2017-09-28,'300653,正海生物,38.1,38.71,37.97,38.04,38.15,-0.05,-0.1311,4.461,892191,34162250.09,3048000000.0,762000000.0
2017-09-27,'300653,正海生物,38.15,38.19,37.58,37.9,37.77,0.38,1.0061,3.8095,761905,28879239.0,3052000000.0,763000000.0
2017-09-26,'300653,正海生物,37.77,39.0,37.07,39.0,39.01,-1.24,-3.1787,7.1827,1436547,54452362.9,3021600000.0,755400000.0
2017-09-25,'300653,正海生物,39.01,39.63,38.04,38.18,38.51,0.5,1.2984,9.2088,1841765,72169460.25,3120800000.0,780200000.0
