日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'300736,百华悦邦,50.67,52.47,49.5,51.55,51.33,-0.66,-1.2858,32.3799,4396280,224913118.07,2751821829.0,687956724.0
2018-01-23,'300736,百华悦邦,51.33,52.11,49.36,50.0,53.28,-1.95,-3.6599,37.2094,5052000,256224367.81,2787665571.0,696917676.0
2018-01-22,'300736,百华悦邦,53.28,59.2,53.28,59.2,59.2,-5.92,-10.0,36.0124,4889474,268559896.67,2893567536.0,723393216.0
2018-01-19,'300736,百华悦邦,59.2,59.2,58.0,59.2,53.82,5.38,9.9963,17.6322,2393962,141692630.4,3215075040.0,803770240.0
2018-01-18,'300736,百华悦邦,53.82,53.82,53.82,53.82,48.93,4.89,9.9939,0.7144,96991,5220055.62,2922894234.0,730724904.0
2018-01-17,'300736,百华悦邦,48.93,48.93,48.93,48.93,44.48,4.45,10.0045,0.3278,44500,2177385.0,2657324691.0,664332396.0
2018-01-16,'300736,百华悦邦,44.48,44.48,44.48,44.48,40.44,4.04,9.9901,0.5261,71431,3177250.88,2415650976.0,603913856.0
2018-01-15,'300736,百华悦邦,40.44,40.44,40.44,40.44,36.76,3.68,10.0109,0.1996,27101,1095964.44,2196243828.0,549061968.0
2018-01-12,'300736,百华悦邦,36.76,36.76,36.76,36.76,33.42,3.34,9.994,0.0656,8900,327164.0,1996387812.0,499097872.0
2018-01-11,'300736,百华悦邦,33.42,33.42,33.42,33.42,30.38,3.04,10.0066,0.0295,4000,133680.0,1814996754.0,453750024.0
2018-01-10,'300736,百华悦邦,30.38,30.38,30.38,30.38,27.62,2.76,9.9928,0.0118,1600,48608.0,1649898306.0,412475336.0
2018-01-09,'300736,N百华,27.62,27.62,23.02,23.02,19.18,8.44,44.0042,0.0545,7400,203698.0,1500006294.0,375002264.0
