ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-24,'603877,Ì«Æ½Äñ,25.5,25.79,24.83,24.83,24.87,0.63,2.5332,0.6411,1274246,32327372.0,12263776200.0,5068533000.0
2018-01-23,'603877,Ì«Æ½Äñ,24.87,25.1,24.83,25.1,25.09,-0.22,-0.8768,0.351,697700,17397365.0,11960788788.0,4943310420.0
2018-01-22,'603877,Ì«Æ½Äñ,25.09,25.16,24.64,25.02,25.01,0.08,0.3199,0.54,1073335,26769204.0,12066593916.0,4987038940.0
2018-01-19,'603877,Ì«Æ½Äñ,25.01,25.15,24.85,24.94,24.99,0.02,0.08,0.3047,605650,15172225.0,12028119324.0,4971137660.0
2018-01-18,'603877,Ì«Æ½Äñ,24.99,25.36,24.84,25.0,25.16,-0.17,-0.6757,0.453,900447,22562457.0,12018500676.0,4967162340.0
2018-01-17,'603877,Ì«Æ½Äñ,25.16,25.2,24.5,24.97,24.99,0.17,0.6803,0.4123,819501,20346307.0,12100259184.0,5000952560.0
2018-01-16,'603877,Ì«Æ½Äñ,24.99,25.55,24.5,25.3,25.27,-0.28,-1.108,1.1202,2226602,55766919.0,12018500676.0,4967162340.0
2018-01-15,'603877,Ì«Æ½Äñ,25.27,25.8,24.96,25.73,25.56,-0.29,-1.1346,0.7039,1399094,35383435.0,12153161748.0,5022816820.0
2018-01-12,'603877,Ì«Æ½Äñ,25.56,26.26,25.42,26.0,26.13,-0.57,-2.1814,0.5742,1141412,29328603.0,12292632144.0,5080458960.0
2018-01-11,'603877,Ì«Æ½Äñ,26.13,26.27,25.58,25.9,25.85,0.28,1.0832,0.4852,964508,25111645.0,12566763612.0,5193755580.0
2018-01-10,'603877,Ì«Æ½Äñ,25.85,26.2,25.38,26.01,26.25,-0.4,-1.5238,0.6288,1249812,32213355.0,12432102540.0,5138101100.0
2018-01-09,'603877,Ì«Æ½Äñ,26.25,26.47,24.9,25.21,24.75,1.5,6.0606,2.0807,4135815,106870496.0,12624475500.0,5217607500.0
2018-01-08,'603877,Ì«Æ½Äñ,24.75,25.48,24.19,24.55,24.53,0.22,0.8969,2.9067,1598660,39462729.0,11903076900.0,1361250000.0
2018-01-05,'603877,Ì«Æ½Äñ,24.53,25.05,24.44,25.0,25.06,-0.53,-2.1149,3.9562,2175898,53564723.0,11797271772.0,1349150000.0
2018-01-04,'603877,Ì«Æ½Äñ,25.06,25.28,24.72,24.82,25.19,-0.13,-0.5161,5.3387,2936289,73560381.0,12052165944.0,1378300000.0
2018-01-03,'603877,Ì«Æ½Äñ,25.19,26.76,24.35,26.48,26.52,-1.33,-5.0151,9.8594,5422664,136192613.0,12114687156.0,1385450000.0
2018-01-02,'603877,Ì«Æ½Äñ,26.52,27.6,26.1,27.09,27.11,-0.59,-2.1763,3.1485,1731670,46278169.0,12754327248.0,1458600000.0
2017-12-29,'603877,Ì«Æ½Äñ,27.11,27.83,27.0,27.09,27.3,-0.19,-0.696,2.5945,1426999,39214696.0,13038077364.0,1491050000.0
2017-12-28,'603877,Ì«Æ½Äñ,27.3,27.34,26.08,26.5,26.35,0.95,3.6053,2.7316,1502371,40522551.0,13129454520.0,1501500000.0
2017-12-27,'603877,Ì«Æ½Äñ,26.35,26.4,25.64,25.93,25.92,0.43,1.659,1.6487,906788,23688750.0,12672568740.0,1449250000.0
2017-12-26,'603877,Ì«Æ½Äñ,25.92,26.36,25.49,25.49,25.68,0.24,0.9346,0.8707,478910,12432085.0,12465767808.0,1425600000.0
2017-12-25,'603877,Ì«Æ½Äñ,25.68,26.9,25.65,26.9,27.01,-1.33,-4.9241,1.792,985600,25742546.0,12350344032.0,1412400000.0
2017-12-22,'603877,Ì«Æ½Äñ,27.01,27.26,26.88,27.2,27.29,-0.28,-1.026,0.6345,349000,9450578.0,12989984124.0,1485550000.0
2017-12-21,'603877,Ì«Æ½Äñ,27.29,27.8,26.56,27.1,27.11,0.18,0.664,2.2546,1240014,33593065.0,13124645196.0,1500950000.0
2017-12-20,'603877,Ì«Æ½Äñ,27.11,27.9,27.1,27.84,27.82,-0.71,-2.5521,2.0512,1128151,31115321.0,13038077364.0,1491050000.0
