日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'002911,佛燃股份,32.22,32.82,30.43,30.49,30.43,1.79,5.8824,30.2795,16956546,544007328.75,17914320000.0,1804320000.0
2018-01-23,'002911,佛燃股份,30.43,30.71,29.05,29.5,30.19,0.24,0.795,17.9726,10064647,303172724.64,16919080000.0,1704080000.0
2018-01-22,'002911,佛燃股份,30.19,32.2,29.58,31.51,32.75,-2.56,-7.8168,27.8295,15584496,475183829.52,16785640000.0,1690640000.0
2018-01-19,'002911,佛燃股份,32.75,33.0,30.74,31.33,32.1,0.65,2.0249,32.6015,18256818,585668073.8,18209000000.0,1834000000.0
2018-01-18,'002911,佛燃股份,32.1,33.81,31.32,33.19,32.81,-0.71,-2.164,37.8313,21185518,685509749.42,17847600000.0,1797600000.0
2018-01-17,'002911,佛燃股份,32.81,38.86,32.52,37.64,35.45,-2.64,-7.4471,49.908,27948479,1008276129.1,18242360000.0,1837360000.0
2018-01-16,'002911,佛燃股份,35.45,35.45,32.55,33.52,32.23,3.22,9.9907,46.6096,26101388,900797313.78,19710200000.0,1985200000.0
2018-01-15,'002911,佛燃股份,32.23,32.23,28.71,28.71,29.3,2.93,10.0,34.1936,19148435,597950475.72,17919880000.0,1804880000.0
2018-01-12,'002911,佛燃股份,29.3,30.34,28.01,30.31,30.45,-1.15,-3.7767,35.3758,19810452,578104460.65,16290800000.0,1640800000.0
2018-01-11,'002911,佛燃股份,30.45,32.83,29.7,30.0,31.44,-0.99,-3.1489,47.993,26876055,847421691.6,16930200000.0,1705200000.0
2018-01-10,'002911,佛燃股份,31.44,32.83,29.71,30.0,30.01,1.43,4.7651,52.3707,29327582,928035325.74,17480640000.0,1760640000.0
2018-01-09,'002911,佛燃股份,30.01,30.01,26.81,26.85,27.28,2.73,10.0073,44.718,25042106,725027476.79,16685560000.0,1680560000.0
2018-01-08,'002911,佛燃股份,27.28,27.88,26.0,26.34,26.78,0.5,1.8671,24.0182,13450201,363544439.34,15167680000.0,1527680000.0
2018-01-05,'002911,佛燃股份,26.78,27.22,26.35,26.38,26.65,0.13,0.4878,20.4977,11478727,308639632.84,14889680000.0,1499680000.0
2018-01-04,'002911,佛燃股份,26.65,27.68,26.19,27.4,27.78,-1.13,-4.0677,26.9403,15086563,404274577.98,14817400000.0,1492400000.0
2018-01-03,'002911,佛燃股份,27.78,29.68,27.01,28.12,28.91,-1.13,-3.9087,38.38,21492799,607307758.02,15445680000.0,1555680000.0
2018-01-02,'002911,佛燃股份,28.91,29.31,26.75,27.1,27.23,1.68,6.1697,39.0828,21886362,623706482.17,16073960000.0,1618960000.0
2017-12-29,'002911,佛燃股份,27.23,29.0,26.89,28.1,29.13,-1.9,-6.5225,35.1374,19676921,544520969.93,15139880000.0,1524880000.0
2017-12-28,'002911,佛燃股份,29.13,30.55,29.12,30.46,32.35,-3.22,-9.9536,46.3086,25932812,767211235.87,16196280000.0,1631280000.0
2017-12-27,'002911,佛燃股份,32.35,33.11,29.9,31.0,30.1,2.25,7.4751,60.99,34154395,1084828537.7,17986600000.0,1811600000.0
2017-12-26,'002911,佛燃股份,30.1,30.1,26.7,27.43,27.36,2.74,10.0146,50.9552,28534932,819749583.24,16735600000.0,1685600000.0
2017-12-25,'002911,佛燃股份,27.36,29.49,26.9,28.04,28.23,-0.87,-3.0818,38.5409,21582922,606594004.97,15212160000.0,1532160000.0
2017-12-22,'002911,佛燃股份,28.23,29.95,26.28,27.0,27.63,0.6,2.1716,48.0302,26896918,764615457.97,15695880000.0,1580880000.0
2017-12-21,'002911,佛燃股份,27.63,28.1,24.5,25.0,25.68,1.95,7.5935,42.9067,24027775,643484779.46,15362280000.0,1547280000.0
2017-12-20,'002911,佛燃股份,25.68,26.85,24.5,24.65,24.44,1.24,5.0736,34.182,19141901,495493957.64,14278080000.0,1438080000.0
2017-12-19,'002911,佛燃股份,24.44,24.5,23.46,23.53,24.17,0.27,1.1171,18.7189,10482561,251456944.59,13588640000.0,1368640000.0
2017-12-18,'002911,佛燃股份,24.17,24.53,22.41,23.99,24.51,-0.34,-1.3872,23.8189,13338591,313309534.18,13438520000.0,1353520000.0
2017-12-15,'002911,佛燃股份,24.51,25.49,24.18,24.99,23.72,0.79,3.3305,36.5798,20484701,505641187.12,13627560000.0,1372560000.0
2017-12-14,'002911,佛燃股份,23.72,23.72,21.5,21.54,21.56,2.16,10.0186,16.9593,9497188,217810110.02,13188320000.0,1328320000.0
2017-12-13,'002911,佛燃股份,21.56,21.74,21.31,21.39,21.54,0.02,0.0929,8.2817,4637744,100109728.3,11987360000.0,1207360000.0
2017-12-12,'002911,佛燃股份,21.54,23.23,21.32,23.2,23.3,-1.76,-7.5536,18.943,10608094,235431894.6,11976240000.0,1206240000.0
2017-12-11,'002911,佛燃股份,23.3,23.86,23.12,23.51,23.44,-0.14,-0.5973,11.8467,6634148,155438807.37,12954800000.0,1304800000.0
2017-12-08,'002911,佛燃股份,23.44,24.0,22.9,22.9,23.19,0.25,1.0781,15.2813,8557540,202004661.09,13032640000.0,1312640000.0
2017-12-07,'002911,佛燃股份,23.19,23.87,23.1,23.59,24.03,-0.84,-3.4956,14.483,8110493,189880682.99,12893640000.0,1298640000.0
2017-12-06,'002911,佛燃股份,24.03,24.56,22.82,24.1,24.15,-0.12,-0.4969,20.6091,11541087,273500636.4,13360680000.0,1345680000.0
2017-12-05,'002911,佛燃股份,24.15,25.86,23.58,24.98,25.44,-1.29,-5.0708,23.5965,13214061,325208673.07,13427400000.0,1352400000.0
