日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'603260,合盛硅业,65.35,66.66,62.98,64.98,64.07,1.28,1.9978,18.2772,12794067,835163930.0,43784500000.0,4574500000.0
2018-01-23,'603260,合盛硅业,64.07,65.2,60.61,60.64,59.34,4.73,7.971,19.3938,13575666,854345451.0,42926900000.0,4484900000.0
2018-01-22,'603260,合盛硅业,59.34,60.5,57.56,60.3,61.07,-1.73,-2.8328,10.9829,7688000,454335867.0,39757800000.0,4153800000.0
2018-01-19,'603260,合盛硅业,61.07,63.89,60.98,62.15,62.36,-1.29,-2.0686,11.9137,8339579,520519770.0,40916900000.0,4274900000.0
2018-01-18,'603260,合盛硅业,62.36,64.28,62.0,62.76,63.22,-0.86,-1.3603,12.3725,8660763,546210400.0,41781200000.0,4365200000.0
2018-01-17,'603260,合盛硅业,63.22,64.3,59.62,61.0,60.98,2.24,3.6733,17.3803,12166233,756148224.0,42357400000.0,4425400000.0
2018-01-16,'603260,合盛硅业,60.98,61.35,57.76,57.77,59.69,1.29,2.1612,13.672,9570382,574306686.0,40856600000.0,4268600000.0
2018-01-15,'603260,合盛硅业,59.69,62.63,59.33,60.54,59.37,0.32,0.539,17.0109,11907632,727101902.0,39992300000.0,4178300000.0
2018-01-12,'603260,合盛硅业,59.37,62.8,59.3,62.7,62.73,-3.36,-5.3563,16.9841,11888889,718768684.0,39777900000.0,4155900000.0
2018-01-11,'603260,合盛硅业,62.73,64.51,60.6,61.35,61.79,0.94,1.5213,17.5047,12253293,772688439.0,42029100000.0,4391100000.0
2018-01-10,'603260,合盛硅业,61.79,65.62,60.66,60.67,61.16,0.63,1.0301,24.047,16832913,1058981230.0,41399300000.0,4325300000.0
2018-01-09,'603260,合盛硅业,61.16,62.25,60.5,60.97,61.82,-0.66,-1.0676,16.7685,11737940,718245334.0,40977200000.0,4281200000.0
2018-01-08,'603260,合盛硅业,61.82,62.56,56.8,57.3,56.87,4.95,8.7041,27.333,19133120,1152555401.0,41419400000.0,4327400000.0
2018-01-05,'603260,合盛硅业,56.87,58.71,56.77,57.76,58.11,-1.24,-2.1339,11.7076,8195330,471287832.0,38102900000.0,3980900000.0
2018-01-04,'603260,合盛硅业,58.11,58.88,56.34,56.34,56.88,1.23,2.1624,16.1567,11309679,652824534.0,38933700000.0,4067700000.0
2018-01-03,'603260,合盛硅业,56.88,58.35,56.3,58.08,57.75,-0.87,-1.5065,11.2726,7890842,451035078.0,38109600000.0,3981600000.0
2018-01-02,'603260,合盛硅业,57.75,58.5,56.22,57.31,56.74,1.01,1.78,11.2145,7850179,450196052.0,38692500000.0,4042500000.0
2017-12-29,'603260,合盛硅业,56.74,58.25,56.6,57.82,58.38,-1.64,-2.8092,11.8385,8286943,474178886.0,38015800000.0,3971800000.0
2017-12-28,'603260,合盛硅业,58.38,59.48,55.7,55.7,56.47,1.91,3.3823,19.5765,13703547,791947360.0,39114600000.0,4086600000.0
