日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'601949,中国出版,8.09,8.09,7.31,7.35,7.35,0.74,10.068,13.488,49163812,385270594.0,14744025000.0,2948805000.0
2018-01-23,'601949,中国出版,7.35,7.47,7.32,7.43,7.47,-0.12,-1.6064,3.1082,11329329,83620746.0,13395375000.0,2679075000.0
2018-01-22,'601949,中国出版,7.47,7.56,7.1,7.3,7.39,0.08,1.0825,5.0063,18248104,133850145.0,13614075000.0,2722815000.0
2018-01-19,'601949,中国出版,7.39,7.65,7.37,7.54,7.54,-0.15,-1.9894,5.004,18239519,137180318.0,13468275000.0,2693655000.0
2018-01-18,'601949,中国出版,7.54,7.56,7.37,7.4,7.49,0.05,0.6676,4.8682,17744639,132198659.0,13741650000.0,2748330000.0
2018-01-17,'601949,中国出版,7.49,7.82,7.25,7.25,7.28,0.21,2.8846,8.1399,29669929,222624264.0,13650525000.0,2730105000.0
2018-01-16,'601949,中国出版,7.28,7.32,6.96,7.0,7.05,0.23,3.2624,4.293,15647855,112887800.0,13267800000.0,2653560000.0
2018-01-15,'601949,中国出版,7.05,7.42,7.03,7.42,7.42,-0.37,-4.9865,3.7801,13778287,99652569.0,12848625000.0,2569725000.0
2018-01-12,'601949,中国出版,7.42,7.46,7.18,7.25,7.29,0.13,1.7833,4.3556,15876181,116315249.0,13522950000.0,2704590000.0
2018-01-11,'601949,中国出版,7.29,7.34,7.13,7.21,7.21,0.08,1.1096,2.4789,9035544,65628312.0,13286025000.0,2657205000.0
2018-01-10,'601949,中国出版,7.21,7.42,7.13,7.42,7.42,-0.21,-2.8302,3.0224,11016670,80105192.0,13140225000.0,2628045000.0
2018-01-09,'601949,中国出版,7.42,7.49,7.38,7.44,7.47,-0.05,-0.6693,2.4234,8833320,65650454.0,13522950000.0,2704590000.0
2018-01-08,'601949,中国出版,7.47,7.48,7.3,7.37,7.39,0.08,1.0825,3.4713,12652744,93515312.0,13614075000.0,2722815000.0
2018-01-05,'601949,中国出版,7.39,7.49,7.35,7.46,7.46,-0.07,-0.9383,3.7078,13514912,100079060.0,13468275000.0,2693655000.0
2018-01-04,'601949,中国出版,7.46,7.55,7.42,7.52,7.54,-0.08,-1.061,3.541,12906987,96574838.0,13595850000.0,2719170000.0
2018-01-03,'601949,中国出版,7.54,7.62,7.49,7.61,7.6,-0.06,-0.7895,4.1046,14961378,113007452.0,13741650000.0,2748330000.0
2018-01-02,'601949,中国出版,7.6,7.62,7.41,7.51,7.51,0.09,1.1984,4.1892,15269640,115045238.0,13851000000.0,2770200000.0
2017-12-29,'601949,中国出版,7.51,7.76,7.43,7.67,7.69,-0.18,-2.3407,5.3571,19526664,147808211.0,13686975000.0,2737395000.0
2017-12-28,'601949,中国出版,7.69,7.84,7.51,7.66,7.85,-0.16,-2.0382,8.1158,29582141,227473109.0,14015025000.0,2803005000.0
2017-12-27,'601949,中国出版,7.85,8.26,7.74,7.8,7.74,0.11,1.4212,17.9345,65371324,522198475.0,14306625000.0,2861325000.0
2017-12-26,'601949,中国出版,7.74,7.74,6.99,7.0,7.04,0.7,9.9432,11.9417,43527531,326336804.0,14106150000.0,2821230000.0
2017-12-25,'601949,中国出版,7.04,7.1,6.77,6.92,6.98,0.06,0.8596,3.6948,13467609,93252510.0,12830400000.0,2566080000.0
2017-12-22,'601949,中国出版,6.98,7.13,6.89,6.89,6.94,0.04,0.5764,3.4381,12532056,88131047.0,12721050000.0,2544210000.0
2017-12-21,'601949,中国出版,6.94,7.03,6.7,6.87,6.91,0.03,0.4342,2.6357,9607021,66145935.0,12648150000.0,2529630000.0
