日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'603266,天龙股份,26.26,26.36,25.8,26.05,25.93,0.33,1.2727,2.1105,527633,13815647.0,2626000000.0,656500000.0
2018-01-23,'603266,天龙股份,25.93,26.08,25.81,25.94,25.95,-0.02,-0.0771,1.2232,305800,7931078.0,2593000000.0,648250000.0
2018-01-22,'603266,天龙股份,25.95,26.28,25.51,25.78,25.95,0.0,0.0,1.6428,410700,10669034.0,2595000000.0,648750000.0
2018-01-19,'603266,天龙股份,25.95,26.46,25.8,26.27,26.3,-0.35,-1.3308,1.7758,443944,11605724.0,2595000000.0,648750000.0
2018-01-18,'603266,天龙股份,26.3,26.5,25.8,26.08,26.08,0.22,0.8436,2.794,698500,18261307.0,2630000000.0,657500000.0
2018-01-17,'603266,天龙股份,26.08,26.35,25.55,25.55,25.72,0.36,1.3997,2.2463,561567,14591647.0,2608000000.0,652000000.0
2018-01-16,'603266,天龙股份,25.72,25.75,24.8,24.99,25.1,0.62,2.4701,1.9125,478124,12184706.0,2572000000.0,643000000.0
2018-01-15,'603266,天龙股份,25.1,25.99,25.06,25.77,25.77,-0.67,-2.5999,2.0374,509362,12945876.0,2510000000.0,627500000.0
2018-01-12,'603266,天龙股份,25.77,25.95,25.6,25.77,25.74,0.03,0.1166,0.9556,238900,6165526.0,2577000000.0,644250000.0
2018-01-11,'603266,天龙股份,25.74,25.86,25.22,25.45,25.46,0.28,1.0998,1.2544,313600,8059382.0,2574000000.0,643500000.0
2018-01-10,'603266,天龙股份,25.46,26.1,25.1,26.1,26.1,-0.64,-2.4521,2.5498,637453,16341538.0,2546000000.0,636500000.0
2018-01-09,'603266,天龙股份,26.1,26.32,25.85,25.98,26.06,0.04,0.1535,2.3837,595933,15557722.0,2610000000.0,652500000.0
