日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'002852,道道全,33.67,33.84,33.26,33.75,33.61,0.06,0.1785,3.9668,1685884,56602779.77,5723900000.0,1430975000.0
2018-01-23,'002852,道道全,33.61,33.91,32.48,32.63,32.53,1.08,3.32,5.3567,2276586,76299637.49,5713700000.0,1428425000.0
2018-01-22,'002852,道道全,32.53,32.72,31.94,32.6,32.77,-0.24,-0.7324,2.0842,885791,28698924.33,5530100000.0,1382525000.0
2018-01-19,'002852,道道全,32.77,33.29,32.6,33.2,33.17,-0.4,-1.2059,2.4116,1024937,33746621.37,5570900000.0,1392725000.0
2018-01-18,'002852,道道全,33.17,33.85,32.98,33.0,33.42,-0.25,-0.7481,3.4644,1472360,49168493.92,5638900000.0,1409725000.0
2018-01-17,'002852,道道全,33.42,33.94,31.55,31.76,31.76,1.66,5.2267,5.6031,2381327,78786410.52,5681400000.0,1420350000.0
2018-01-16,'002852,道道全,31.76,32.15,31.58,31.6,31.62,0.14,0.4428,1.7686,751661,23951305.6,5399200000.0,1349800000.0
2018-01-15,'002852,道道全,31.62,32.9,31.51,32.7,32.82,-1.2,-3.6563,2.6154,1111560,35600207.17,5375400000.0,1343850000.0
2018-01-12,'002852,道道全,32.82,33.16,32.81,33.01,33.06,-0.24,-0.726,1.3457,571912,18840057.28,5579400000.0,1394850000.0
2018-01-11,'002852,道道全,33.06,33.5,32.4,32.58,32.8,0.26,0.7927,2.057,874224,28866608.9,5620200000.0,1405050000.0
2018-01-10,'002852,道道全,32.8,33.9,32.61,33.9,33.89,-1.09,-3.2163,2.9905,1270949,42183648.06,5576000000.0,1394000000.0
2018-01-09,'002852,道道全,33.89,33.9,33.0,33.32,33.3,0.59,1.7718,3.0439,1293641,43402715.6,5761300000.0,1440325000.0
2018-01-08,'002852,道道全,33.3,33.47,33.03,33.34,33.34,-0.04,-0.12,1.7926,761838,25320782.64,5661000000.0,1415250000.0
2018-01-05,'002852,道道全,33.34,33.56,33.16,33.47,33.47,-0.13,-0.3884,1.5557,661160,22020998.4,5667800000.0,1416950000.0
2018-01-04,'002852,道道全,33.47,33.74,33.27,33.5,33.41,0.06,0.1796,2.3161,984323,32967371.44,5689900000.0,1422475000.0
2018-01-03,'002852,道道全,33.41,33.93,33.13,33.35,33.4,0.01,0.0299,2.3253,988241,32985745.86,5679700000.0,1419925000.0
2018-01-02,'002852,道道全,33.4,33.49,32.88,33.13,33.14,0.26,0.7846,2.0541,873002,29007015.48,5678000000.0,1419500000.0
