»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'300705,æ≈µ‰÷∆“©,27.89,28.2,27.43,27.57,27.45,0.44,1.6029,6.3771,1871037,52111946.4,3272612600.0,818292600.0
2018-01-23,'300705,æ≈µ‰÷∆“©,27.45,27.77,27.13,27.31,27.31,0.14,0.5126,4.707,1381039,37866702.91,3220983000.0,805383000.0
2018-01-22,'300705,æ≈µ‰÷∆“©,27.31,28.5,26.8,28.01,28.75,-1.44,-5.0087,11.0281,3235636,88774785.56,3204555400.0,801275400.0
2018-01-19,'300705,æ≈µ‰÷∆“©,28.75,30.8,28.4,30.42,30.39,-1.64,-5.3965,12.2561,3595946,106453122.83,3373525000.0,843525000.0
2018-01-18,'300705,æ≈µ‰÷∆“©,30.39,31.2,29.83,29.83,29.99,0.4,1.3338,10.528,3088907,94454015.75,3565962600.0,891642600.0
2018-01-17,'300705,æ≈µ‰÷∆“©,29.99,30.88,29.5,29.52,30.27,-0.28,-0.925,10.3268,3029873,91603135.08,3519026600.0,879906600.0
2018-01-16,'300705,æ≈µ‰÷∆“©,30.27,31.59,29.29,29.4,30.3,-0.03,-0.099,12.7442,3739161,114674519.8,3551881800.0,888121800.0
2018-01-15,'300705,æ≈µ‰÷∆“©,30.3,30.6,28.52,29.8,30.2,0.1,0.3311,12.985,3809789,112956613.02,3555402000.0,889002000.0
2018-01-12,'300705,æ≈µ‰÷∆“©,30.2,31.4,29.6,30.65,31.5,-1.3,-4.127,14.5709,4275103,130251701.01,3543668000.0,886068000.0
2018-01-11,'300705,æ≈µ‰÷∆“©,31.5,33.6,30.04,30.04,31.15,0.35,1.1236,25.6023,7511716,239407468.77,3696210000.0,924210000.0
2018-01-10,'300705,æ≈µ‰÷∆“©,31.15,31.77,28.06,30.63,30.69,0.46,1.4989,20.9717,6153093,182731025.89,3655141000.0,913941000.0
2018-01-09,'300705,æ≈µ‰÷∆“©,30.69,32.5,29.51,29.6,30.18,0.51,1.6899,24.1029,7071804,221487649.15,3601164600.0,900444600.0
2018-01-08,'300705,æ≈µ‰÷∆“©,30.18,30.68,27.73,28.12,28.14,2.04,7.2495,20.0117,5871430,170690722.45,3541321200.0,885481200.0
2018-01-05,'300705,æ≈µ‰÷∆“©,28.14,29.26,26.4,26.45,26.6,1.54,5.7895,16.9151,4962899,138172063.38,3301947600.0,825627600.0
2018-01-04,'300705,æ≈µ‰÷∆“©,26.6,26.69,26.12,26.6,26.71,-0.11,-0.4118,5.1631,1514857,40005939.18,3121244000.0,780444000.0
2018-01-03,'300705,æ≈µ‰÷∆“©,26.71,26.84,26.0,26.31,26.39,0.32,1.2126,7.3591,2159150,57258581.92,3134151400.0,783671400.0
