»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'603579,»ŸÃ©Ω°øµ,79.08,81.99,78.28,81.0,80.3,-1.22,-1.5193,1.7983,924700,73232973.0,11071200000.0,4066293600.0
2018-01-23,'603579,»ŸÃ©Ω°øµ,80.3,82.09,79.03,81.89,82.12,-1.82,-2.2163,1.4775,759740,60817718.0,11242000000.0,4129026000.0
2018-01-22,'603579,»ŸÃ©Ω°øµ,82.12,83.0,77.3,77.6,77.28,4.84,6.2629,2.8823,1482084,119298839.0,11496800000.0,4222610400.0
2018-01-19,'603579,»ŸÃ©Ω°øµ,77.28,77.91,73.0,73.01,72.6,4.68,6.4463,2.5294,1300614,98838137.0,10819200000.0,3973737600.0
2018-01-18,'603579,»ŸÃ©Ω°øµ,72.6,74.69,67.89,67.89,68.5,4.1,5.9854,1.8039,927557,67039604.0,10164000000.0,3733092000.0
2018-01-17,'603579,»ŸÃ©Ω°øµ,68.5,71.45,68.5,70.9,69.78,-1.28,-1.8343,0.9993,513847,35831134.0,9590000000.0,3522270000.0
2018-01-16,'603579,»ŸÃ©Ω°øµ,69.78,71.55,64.53,66.88,71.53,-1.75,-2.4465,3.7349,1920488,131794446.0,9769200000.0,3588087600.0
2018-01-15,'603579,»ŸÃ©Ω°øµ,71.53,71.94,70.11,71.02,71.51,0.02,0.028,1.291,663812,47241553.0,10014200000.0,3678072600.0
2018-01-12,'603579,»ŸÃ©Ω°øµ,71.51,72.0,70.22,70.41,70.54,0.97,1.3751,0.883,454031,32403571.0,10011400000.0,3677044200.0
2018-01-11,'603579,»ŸÃ©Ω°øµ,70.54,71.5,70.13,71.0,71.48,-0.94,-1.3151,1.184,414411,29286838.0,9875600000.0,2468900000.0
2018-01-10,'603579,»ŸÃ©Ω°øµ,71.48,72.0,69.66,70.68,71.59,-0.11,-0.1537,2.6316,921046,65386450.0,10007200000.0,2501800000.0
2018-01-09,'603579,»ŸÃ©Ω°øµ,71.59,73.0,69.23,69.88,69.98,1.61,2.3007,3.2661,1143146,81876896.0,10022600000.0,2505650000.0
2018-01-08,'603579,»ŸÃ©Ω°øµ,69.98,69.98,65.12,66.72,66.81,3.17,4.7448,2.8287,990030,67741445.0,9797200000.0,2449300000.0
2018-01-05,'603579,»ŸÃ©Ω°øµ,66.81,67.45,65.7,66.71,67.22,-0.41,-0.6099,1.2881,450831,30073907.0,9353400000.0,2338350000.0
2018-01-04,'603579,»ŸÃ©Ω°øµ,67.22,67.4,65.63,66.25,66.28,0.94,1.4182,1.7206,602199,40237226.0,9410800000.0,2352700000.0
2018-01-03,'603579,»ŸÃ©Ω°øµ,66.28,67.34,64.71,64.93,65.26,1.02,1.563,3.0422,1064787,70272119.0,9279200000.0,2319800000.0
2018-01-02,'603579,»ŸÃ©Ω°øµ,65.26,65.43,62.64,63.03,62.99,2.27,3.6037,2.0281,709844,45517119.0,9136400000.0,2284100000.0
2017-12-29,'603579,»ŸÃ©Ω°øµ,62.99,63.31,62.32,63.19,62.66,0.33,0.5267,0.8906,311700,19555985.0,8818600000.0,2204650000.0
2017-12-28,'603579,»ŸÃ©Ω°øµ,62.66,63.98,62.59,63.92,63.73,-1.07,-1.679,1.2186,426500,26907109.0,8772400000.0,2193100000.0
2017-12-27,'603579,»ŸÃ©Ω°øµ,63.73,64.88,63.39,64.25,63.76,-0.03,-0.0471,1.1588,405580,26037803.0,8922200000.0,2230550000.0
2017-12-26,'603579,»ŸÃ©Ω°øµ,63.76,64.47,61.88,62.78,62.8,0.96,1.5287,1.2031,421100,26832675.0,8926400000.0,2231600000.0
2017-12-25,'603579,»ŸÃ©Ω°øµ,62.8,64.66,61.05,64.66,64.4,-1.6,-2.4845,1.8054,631906,39615169.0,8792000000.0,2198000000.0
2017-12-22,'603579,»ŸÃ©Ω°øµ,64.4,65.57,63.51,64.97,64.98,-0.58,-0.8926,1.141,399338,25783929.0,9016000000.0,2254000000.0
2017-12-21,'603579,»ŸÃ©Ω°øµ,64.98,65.99,63.53,64.7,64.67,0.31,0.4794,1.1817,413600,26785727.0,9097200000.0,2274300000.0
2017-12-20,'603579,»ŸÃ©Ω°øµ,64.67,65.98,64.2,65.97,66.0,-1.33,-2.0152,1.2063,422200,27358528.0,9053800000.0,2263450000.0
2017-12-19,'603579,»ŸÃ©Ω°øµ,66.0,66.36,64.65,65.06,65.29,0.71,1.0875,1.5851,554800,36483545.0,9240000000.0,2310000000.0
2017-12-18,'603579,»ŸÃ©Ω°øµ,65.29,65.48,63.48,64.88,64.2,1.09,1.6978,1.6238,568338,36832543.0,9140600000.0,2285150000.0
2017-12-15,'603579,»ŸÃ©Ω°øµ,64.2,64.85,63.8,64.38,64.4,-0.2,-0.3106,1.1181,391324,25175019.0,8988000000.0,2247000000.0
2017-12-14,'603579,»ŸÃ©Ω°øµ,64.4,64.64,62.88,64.23,64.12,0.28,0.4367,2.0513,717938,45719569.0,9016000000.0,2254000000.0
2017-12-13,'603579,»ŸÃ©Ω°øµ,64.12,64.78,62.65,63.06,63.51,0.61,0.9605,1.5386,538508,34362949.0,8976800000.0,2244200000.0
2017-12-12,'603579,»ŸÃ©Ω°øµ,63.51,64.6,63.13,64.6,64.45,-0.94,-1.4585,1.3771,481984,30753712.0,8891400000.0,2222850000.0
2017-12-11,'603579,»ŸÃ©Ω°øµ,64.45,64.98,61.73,61.73,62.24,2.21,3.5508,2.1841,764424,48928364.0,9023000000.0,2255750000.0
2017-12-08,'603579,»ŸÃ©Ω°øµ,62.24,62.88,60.56,60.7,60.95,1.29,2.1165,1.1314,396000,24503071.0,8713600000.0,2178400000.0
2017-12-07,'603579,»ŸÃ©Ω°øµ,60.95,62.12,60.51,61.39,61.03,-0.08,-0.1311,1.2517,438100,26816154.0,8533000000.0,2133250000.0
2017-12-06,'603579,»ŸÃ©Ω°øµ,61.03,61.88,60.5,60.76,61.24,-0.21,-0.3429,1.6194,566784,34726970.0,8544200000.0,2136050000.0
2017-12-05,'603579,»ŸÃ©Ω°øµ,61.24,63.4,60.22,62.08,61.77,-0.53,-0.858,1.6465,576284,35540667.0,8573600000.0,2143400000.0
2017-12-04,'603579,»ŸÃ©Ω°øµ,61.77,63.79,61.61,63.3,63.3,-1.53,-2.4171,1.6946,593100,37396651.0,8647800000.0,2161950000.0
2017-12-01,'603579,»ŸÃ©Ω°øµ,63.3,64.78,62.55,63.08,63.1,0.2,0.317,1.6544,579026,36816849.0,8862000000.0,2215500000.0
2017-11-30,'603579,»ŸÃ©Ω°øµ,63.1,63.2,61.05,61.46,61.46,1.64,2.6684,1.8002,630084,39337929.0,8834000000.0,2208500000.0
2017-11-29,'603579,»ŸÃ©Ω°øµ,61.46,61.82,60.44,61.82,61.82,-0.36,-0.5823,1.0314,361000,22039637.0,8604400000.0,2151100000.0
2017-11-28,'603579,»ŸÃ©Ω°øµ,61.82,62.4,60.71,61.0,60.76,1.06,1.7446,1.0117,354100,21729080.0,8654800000.0,2163700000.0
2017-11-27,'603579,»ŸÃ©Ω°øµ,60.76,62.5,59.49,60.66,60.84,-0.08,-0.1315,1.7906,626700,38416317.0,8506400000.0,2126600000.0
2017-11-24,'603579,»ŸÃ©Ω°øµ,60.84,61.25,59.02,60.0,60.64,0.2,0.3298,1.1025,385876,23337928.0,8517600000.0,2129400000.0
2017-11-23,'603579,»ŸÃ©Ω°øµ,60.64,63.15,60.52,62.71,63.2,-2.56,-4.0506,2.0089,703100,43369528.0,8489600000.0,2122400000.0
2017-11-22,'603579,»ŸÃ©Ω°øµ,63.2,63.39,60.52,62.42,62.06,1.14,1.8369,2.2864,800226,49954554.0,8848000000.0,2212000000.0
2017-11-21,'603579,»ŸÃ©Ω°øµ,62.06,63.7,61.7,62.69,63.0,-0.94,-1.4921,1.6189,566616,35382592.0,8688400000.0,2172100000.0
2017-11-20,'603579,»ŸÃ©Ω°øµ,63.0,63.07,59.0,61.9,62.23,0.77,1.2373,2.8243,988500,60947391.0,8820000000.0,2205000000.0
2017-11-17,'603579,»ŸÃ©Ω°øµ,62.23,65.99,58.89,64.95,64.95,-2.72,-4.1878,3.7261,1304126,83938122.0,8712200000.0,2178050000.0
2017-11-16,'603579,»ŸÃ©Ω°øµ,64.95,65.99,64.52,65.0,65.47,-0.52,-0.7943,2.218,776306,50525646.0,9093000000.0,2273250000.0
2017-11-15,'603579,»ŸÃ©Ω°øµ,65.47,66.95,63.99,66.38,66.42,-0.95,-1.4303,3.0614,1071484,70077160.0,9165800000.0,2291450000.0
2017-11-14,'603579,»ŸÃ©Ω°øµ,66.42,67.85,65.57,66.18,66.57,-0.15,-0.2253,3.7057,1296980,86625931.0,9298800000.0,2324700000.0
2017-11-13,'603579,»ŸÃ©Ω°øµ,66.57,67.39,64.29,64.29,64.12,2.45,3.821,5.6715,1985026,132031489.0,9319800000.0,2329950000.0
2017-11-10,'603579,»ŸÃ©Ω°øµ,64.12,65.1,61.55,62.18,62.13,1.99,3.203,5.0758,1776520,113429461.0,8976800000.0,2244200000.0
2017-11-09,'603579,»ŸÃ©Ω°øµ,62.13,62.26,61.5,61.8,61.89,0.24,0.3878,2.2711,794900,49164921.0,8698200000.0,2174550000.0
2017-11-08,'603579,»ŸÃ©Ω°øµ,61.89,63.26,61.45,62.56,62.7,-0.81,-1.2919,3.4117,1194100,73995276.0,8664600000.0,2166150000.0
2017-11-07,'603579,»ŸÃ©Ω°øµ,62.7,63.38,61.49,62.2,62.34,0.36,0.5775,2.2238,778336,48538119.0,8778000000.0,2194500000.0
2017-11-06,'603579,»ŸÃ©Ω°øµ,62.34,62.8,61.1,62.8,62.86,-0.52,-0.8272,3.4406,1204200,74562934.0,8727600000.0,2181900000.0
2017-11-03,'603579,»ŸÃ©Ω°øµ,62.86,64.42,61.5,63.78,63.84,-0.98,-1.5351,3.5825,1253884,78511863.0,8800400000.0,2200100000.0
2017-11-02,'603579,»ŸÃ©Ω°øµ,63.84,65.0,63.6,65.0,65.09,-1.25,-1.9204,3.3346,1167124,74856137.0,8937600000.0,2234400000.0
