»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'300616,…–∆∑’¨≈‰,167.1,167.5,162.94,164.01,165.72,1.38,0.8327,0.7537,203512,33689049.12,18446169000.0,4511700000.0
2018-01-23,'300616,…–∆∑’¨≈‰,165.72,167.78,162.6,163.0,163.0,2.72,1.6687,0.9139,246740,40872686.9,18293830800.0,4474440000.0
2018-01-22,'300616,…–∆∑’¨≈‰,163.0,164.7,161.81,163.0,163.32,-0.32,-0.1959,0.7085,191300,31152810.56,17993570000.0,4401000000.0
2018-01-19,'300616,…–∆∑’¨≈‰,163.32,164.99,162.61,164.99,164.94,-1.62,-0.9822,0.6051,163370,26654607.7,18028894800.0,4409640000.0
2018-01-18,'300616,…–∆∑’¨≈‰,164.94,167.9,163.16,163.16,163.15,1.79,1.0971,0.7263,196114,32412349.46,18207726600.0,4453380000.0
2018-01-17,'300616,…–∆∑’¨≈‰,163.15,166.1,161.7,166.1,166.1,-2.95,-1.776,0.9765,263655,43052165.05,18010128500.0,4405050000.0
2018-01-16,'300616,…–∆∑’¨≈‰,166.1,169.0,162.0,162.0,162.0,4.1,2.5309,1.6107,434891,72031132.09,18335779000.0,4484700000.0
2018-01-15,'300616,…–∆∑’¨≈‰,162.0,164.0,157.0,158.5,158.0,4.0,2.5316,1.1788,318288,51320479.5,17883180000.0,4374000000.0
2018-01-12,'300616,…–∆∑’¨≈‰,158.0,158.6,157.58,157.58,158.01,-0.01,-0.0063,0.3351,90470,14281656.6,17441620000.0,4266000000.0
2018-01-11,'300616,…–∆∑’¨≈‰,158.01,160.0,157.12,158.66,159.95,-1.94,-1.2129,0.396,106923,16932016.3,17442723900.0,4266270000.0
2018-01-10,'300616,…–∆∑’¨≈‰,159.95,160.5,156.86,158.3,158.4,1.55,0.9785,0.7801,210619,33455570.82,17656880500.0,4318650000.0
2018-01-09,'300616,…–∆∑’¨≈‰,158.4,161.79,158.0,161.79,161.86,-3.46,-2.1376,1.0306,278250,44334653.56,17485776000.0,4276800000.0
2018-01-08,'300616,…–∆∑’¨≈‰,161.86,164.1,161.45,163.94,163.95,-2.09,-1.2748,0.8245,222608,36149169.42,17867725400.0,4370220000.0
2018-01-05,'300616,…–∆∑’¨≈‰,163.95,164.7,158.01,159.0,159.42,4.53,2.8416,0.9394,253628,41252955.4,18098440500.0,4426650000.0
2018-01-04,'300616,…–∆∑’¨≈‰,159.42,162.22,159.36,161.8,162.3,-2.88,-1.7745,0.4113,111058,17868873.3,17598373800.0,4304340000.0
2018-01-03,'300616,…–∆∑’¨≈‰,162.3,162.65,158.69,159.0,160.51,1.79,1.1152,1.1027,297731,47853558.23,17916297000.0,4382100000.0
2018-01-02,'300616,…–∆∑’¨≈‰,160.51,161.3,156.89,156.89,158.02,2.49,1.5757,1.24,334810,53581190.4,17718698900.0,4333770000.0
2017-12-29,'300616,…–∆∑’¨≈‰,158.02,159.89,153.3,154.45,154.45,3.57,2.3114,1.2402,334851,52615950.84,17443827800.0,4266540000.0
2017-12-28,'300616,…–∆∑’¨≈‰,154.45,156.96,148.6,148.9,148.3,6.15,4.147,1.485,400950,61729691.89,17049735500.0,4170150000.0
2017-12-27,'300616,…–∆∑’¨≈‰,148.3,153.28,148.0,152.9,152.7,-4.4,-2.8815,0.8506,229663,34548706.45,16370837000.0,4004100000.0
2017-12-26,'300616,…–∆∑’¨≈‰,152.7,153.47,150.95,150.95,150.93,1.77,1.1727,0.6477,174870,26627783.21,16856553000.0,4122900000.0
2017-12-25,'300616,…–∆∑’¨≈‰,150.93,153.43,150.68,151.78,152.9,-1.97,-1.2884,0.9667,261017,39759133.45,16661162700.0,4075110000.0
2017-12-22,'300616,…–∆∑’¨≈‰,152.9,156.88,152.13,156.88,155.7,-2.8,-1.7983,0.7533,203382,31335544.77,16878631000.0,4128300000.0
2017-12-21,'300616,…–∆∑’¨≈‰,155.7,157.5,154.05,154.98,156.0,-0.3,-0.1923,0.8456,228309,35594797.31,17187723000.0,4203900000.0
2017-12-20,'300616,…–∆∑’¨≈‰,156.0,158.59,154.8,158.05,158.62,-2.62,-1.6517,0.8666,233981,36485541.67,17220840000.0,4212000000.0
2017-12-19,'300616,…–∆∑’¨≈‰,158.62,159.5,153.02,153.35,153.27,5.35,3.4906,0.9228,249150,39180891.7,17510061800.0,4282740000.0
2017-12-18,'300616,…–∆∑’¨≈‰,153.27,154.88,152.23,154.15,154.17,-0.9,-0.5838,0.4314,116470,17881533.61,16919475300.0,4138290000.0
2017-12-15,'300616,…–∆∑’¨≈‰,154.17,156.89,151.52,156.89,156.97,-2.8,-1.7838,0.7637,206200,31658477.0,17018826300.0,4162590000.0
2017-12-14,'300616,…–∆∑’¨≈‰,156.97,157.57,155.9,157.01,157.88,-0.91,-0.5764,0.4959,133882,20963852.09,17327918300.0,4238190000.0
