日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-01-24,'300738,奥飞数据,34.79,34.79,34.79,34.79,31.63,3.16,9.9905,0.0282,4600,160034.0,2270604140.0,567772800.0
2018-01-23,'300738,奥飞数据,31.63,31.63,31.63,31.63,28.75,2.88,10.0174,0.0098,1600,50608.0,2064363580.0,516201600.0
2018-01-22,'300738,奥飞数据,28.75,28.75,28.75,28.75,26.14,2.61,9.9847,0.0049,800,23000.0,1876397500.0,469200000.0
2018-01-19,'300738,N奥飞,26.14,26.14,21.78,21.78,18.15,7.99,44.022,0.0202,3300,84736.0,1706053240.0,426604800.0
