ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2018-01-24,'002878,ิชยกัลอผ,37.46,37.8,36.1,36.69,36.62,0.84,2.2938,8.6343,1626711,60684361.41,2869634538.0,705746400.0
2018-01-23,'002878,ิชยกัลอผ,36.62,36.68,35.8,36.01,36.14,0.48,1.3282,4.6986,885211,32218050.4,2805286086.0,689920800.0
2018-01-22,'002878,ิชยกัลอผ,36.14,36.6,35.1,36.4,36.49,-0.35,-0.9592,3.9894,751600,27024685.0,2768515542.0,680877600.0
2018-01-19,'002878,ิชยกัลอผ,36.49,36.88,36.12,36.23,36.46,0.03,0.0823,5.6216,1059116,38621434.72,2795327397.0,687471600.0
2018-01-18,'002878,ิชยกัลอผ,36.46,36.99,36.01,36.7,36.67,-0.21,-0.5727,5.88,1107800,40354241.0,2793029238.0,686906400.0
2018-01-17,'002878,ิชยกัลอผ,36.67,37.96,34.3,34.62,34.63,2.04,5.8908,10.8886,2051410,74311409.0,2809116351.0,690862800.0
2018-01-16,'002878,ิชยกัลอผ,34.63,34.97,33.93,34.29,34.35,0.28,0.8151,3.3052,622700,21544795.0,2652841539.0,652429200.0
2018-01-15,'002878,ิชยกัลอผ,34.35,35.84,33.84,35.75,35.75,-1.4,-3.9161,5.0605,953400,32831630.0,2631392055.0,647154000.0
2018-01-12,'002878,ิชยกัลอผ,35.75,35.97,35.5,35.5,35.75,0.0,0.0,3.552,669200,23914210.0,2738639475.0,673530000.0
2018-01-11,'002878,ิชยกัลอผ,35.75,36.15,34.88,34.96,35.02,0.73,2.0845,4.9512,932800,33222820.0,2738639475.0,673530000.0
2018-01-10,'002878,ิชยกัลอผ,35.02,36.19,34.6,35.9,36.11,-1.09,-3.0186,4.8779,919000,32385943.0,2682717606.0,659776800.0
2018-01-09,'002878,ิชยกัลอผ,36.11,36.36,35.71,35.8,35.89,0.22,0.613,3.4459,649200,23447264.0,2766217383.0,680312400.0
2018-01-08,'002878,ิชยกัลอผ,35.89,36.37,35.27,36.37,36.15,-0.26,-0.7192,4.8392,911700,32585335.0,2749364217.0,676167600.0
